Species	Status
Adelolophus_hutchisoni	extinct
Amurosaurus_riabinini	extinct
Anasazisaurus_horneri	extinct
Anatotitan_copei	extinct
Angulomastacator_daviesi	extinct
Arenysaurus_ardevoli	extinct
Barsboldia_sicinskii	extinct
Blasisaurus_canudoi	extinct
Brachylophosaurus	extinct
Brachylophosaurus_canadensis	extinct
Charonosaurus_jiayinensis	extinct
Corythosaurini	extinct
Corythosaurus_casuarius	extinct
Edmontosaurus	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Edmontosaurus_saskatchewanensis	extinct
Euhadrosauria	extinct
Gryposaurus	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosauridae	extinct
Hadrosaurinae	extinct
Hadrosauropodus	extinct
Hadrosauropodus_langstoni	extinct
Hadrosaurus	extinct
Hadrosaurus_foulkii	extinct
Hypacrosaurus	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Kerberosaurus_manakini	extinct
Kritosaurini	extinct
Kritosaurus	extinct
Kritosaurus_navajovius	extinct
Kundurosaurus_nagornyi	extinct
Lambeosaurinae	extinct
Lambeosaurini	extinct
Lambeosaurus	extinct
Lambeosaurus_clavinitialis	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latirhinus_uitstlani	extinct
Lophorhothon_atopus	extinct
Magnapaulia_laticaudus	extinct
Maiasaura	extinct
Maiasaura_peeblesorum	extinct
Mandschurosaurus	extinct
Mandschurosaurus_amurensis	extinct
Naashoibitosaurus_ostromi	extinct
Nipponosaurus_sachalinensis	extinct
Olorotitan_arharensis	extinct
Pararhabdodon_isonensis	extinct
Parasaurolophus	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Prosaurolophus	extinct
Prosaurolophus_blackfeetensis	extinct
Prosaurolophus_maximus	extinct
Saurolophinae	extinct
Saurolophus	extinct
Saurolophus_angustirostris	extinct
Saurolophus_osborni	extinct
Secernosaurus_koerneri	extinct
Shantungosaurus	extinct
Taponichnus_donottoi	extinct
Telosichnus_saltensis	extinct
Tridigitichnus_inopinatus	extinct
Tsintaosaurus_spinorhinus	extinct
Velafrons_coahuilensis	extinct
Zhuchengosaurus_maximus	extinct
