Species	Status
Achelousaurus_horneri	extinct
Adelolophus_hutchisoni	extinct
Agujaceratops	extinct
Agujaceratops_mariscalensis	extinct
Ahshislepelta_minor	extinct
Albertosaurus	extinct
Albertosaurus_sarcophagus	extinct
Alioramus_remotus	extinct
Alioramus_sinensis	extinct
Amurosaurus_riabinini	extinct
Anasazisaurus_horneri	extinct
Anatotitan_copei	extinct
Anchiceratops	extinct
Anchiceratops_ornatus	extinct
Angulomastacator_daviesi	extinct
Ankylosauridae	extinct
Ankylosaurus	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Archaeornithoides_deinosauriscus	extinct
Arenysaurus_ardevoli	extinct
Arrhinoceratops_brachyops	extinct
Atrociraptor_marshalli	extinct
Avaceratops_lammersi	extinct
Balaur_bondoc	extinct
Bambiraptor_feinbergi	extinct
Barsboldia_sicinskii	extinct
Blasisaurus_canudoi	extinct
Borogovia_gracilicrus	extinct
Brachyceratops	extinct
Brachylophosaurus	extinct
Brachylophosaurus_canadensis	extinct
Bravoceratops_polyphemus	extinct
Byronosaurus	extinct
Byronosaurus_jaffei	extinct
Cedarpelta_bilbeyhallorum	extinct
Centrosaurinae	extinct
Centrosaurus	extinct
Centrosaurus_apertus	extinct
Ceratopsidae	extinct
Changyuraptor_yangi	extinct
Charonosaurus_jiayinensis	extinct
Chasmosaurinae	extinct
Chasmosaurus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Chuanqilong_chaoyangensis	extinct
Corythosaurini	extinct
Corythosaurus_casuarius	extinct
Crichtonsaurus_benxiensis	extinct
Crichtonsaurus_bohlini	extinct
Daspletosaurus	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_torosus	extinct
Deinonychus	extinct
Deinonychus_antirrhopus	extinct
Diabloceratops	extinct
Diabloceratops_eatoni	extinct
Dromaeosauridae	extinct
Dromaeosaurinae	extinct
Dromaeosaurus	extinct
Dromaeosaurus_albertensis	extinct
Dyoplosaurus_acutosquameus	extinct
Edmontosaurus	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Edmontosaurus_saskatchewanensis	extinct
Einiosaurus_procurvicornis	extinct
Eotriceratops_xerinsularis	extinct
Euhadrosauria	extinct
Euoplocephalus	extinct
Euoplocephalus_tutus	extinct
Gobisaurus_domoculus	extinct
Gorgosaurus	extinct
Gorgosaurus_libratus	extinct
Graciliraptor_lujiatunensis	extinct
Gryposaurus	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosauridae	extinct
Hadrosaurinae	extinct
Hadrosauropodus	extinct
Hadrosauropodus_langstoni	extinct
Hadrosaurus	extinct
Hadrosaurus_foulkii	extinct
Hesperonychus_elizabethae	extinct
Hypacrosaurus	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Itemirus_medullaris	extinct
Jinfengopteryx_elegans	extinct
Judiceratops_tigris	extinct
Kerberosaurus_manakini	extinct
Kosmoceratops_richardsoni	extinct
Kritosaurini	extinct
Kritosaurus	extinct
Kritosaurus_navajovius	extinct
Kundurosaurus_nagornyi	extinct
Lambeosaurinae	extinct
Lambeosaurini	extinct
Lambeosaurus	extinct
Lambeosaurus_clavinitialis	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latirhinus_uitstlani	extinct
Linheraptor_exquisitus	extinct
Linhevenator_tani	extinct
Lophorhothon_atopus	extinct
Lythronax_argestes	extinct
Magnapaulia_laticaudus	extinct
Mahakala_omnogovae	extinct
Maiasaura	extinct
Maiasaura_peeblesorum	extinct
Mandschurosaurus	extinct
Mandschurosaurus_amurensis	extinct
Mei_long	extinct
Mercuriceratops_gemini	extinct
Microraptor_hanqingi	extinct
Microraptor_zhaoianus	extinct
Minmi	extinct
Mojoceratops	extinct
Monoclonius	extinct
Monoclonius_crassus	extinct
Naashoibitosaurus_ostromi	extinct
Nanotyrannus	extinct
Nanuqsaurus_hoglundi	extinct
Neuquenraptor_argentinus	extinct
Nipponosaurus_sachalinensis	extinct
Nodocephalosaurus_kirtlandensis	extinct
Nuthetes	extinct
Nuthetes_destructor	extinct
Ojoceratops_fowleri	extinct
Olorotitan_arharensis	extinct
Oohkotokia	extinct
Oohkotokia_horneri	extinct
Pachyrhinosaurus	extinct
Pachyrhinosaurus_canadensis	extinct
Pachyrhinosaurus_lakustai	extinct
Pararhabdodon_isonensis	extinct
Parasaurolophus	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Pectinodon	extinct
Pectinodon_bakkeri	extinct
Pentaceratops	extinct
Pentaceratops_sternbergii	extinct
Philovenator_curriei	extinct
Pinacosaurus	extinct
Pinacosaurus_grangeri	extinct
Pinacosaurus_mephistocephalus	extinct
Platypelta_coombsi	extinct
Prosaurolophus	extinct
Prosaurolophus_blackfeetensis	extinct
Prosaurolophus_maximus	extinct
Pyroraptor_olympius	extinct
Richardoestesia	extinct
Richardoestesia_asiatica	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Rubeosaurus_ovatus	extinct
Saichania_chulsanensis	extinct
Saurolophinae	extinct
Saurolophus	extinct
Saurolophus_angustirostris	extinct
Saurolophus_osborni	extinct
Saurornithoides	extinct
Saurornithoides_mongoliensis	extinct
Saurornitholestes	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_robustus	extinct
Saurornitholestes_sullivani	extinct
Saurornitholestinae	extinct
Scolosaurus_thronus	extinct
Secernosaurus_koerneri	extinct
Shamosaurus_scutatus	extinct
Shantungosaurus	extinct
Shanxia	extinct
Sinornithoides	extinct
Sinornithoides_youngi	extinct
Sinornithosaurus_haoiana	extinct
Sinornithosaurus_millenii	extinct
Sinusonasus_magnodens	extinct
Styracosaurus_albertensis	extinct
Talarurus_plicatospineus	extinct
Talos_sampsoni	extinct
Taponichnus_donottoi	extinct
Tarbosaurus	extinct
Tarbosaurus_bataar	extinct
Tarchia	extinct
Tarchia_gigantea	extinct
Telosichnus_saltensis	extinct
Teratophoneus_curriei	extinct
Tianyuraptor_ostromi	extinct
Tianzhenosaurus_youngi	extinct
Titanoceratops_ouranos	extinct
Tochisaurus_nemegtensis	extinct
Torosaurus	extinct
Torosaurus_latus	extinct
Triceratops	extinct
Triceratops_horridus	extinct
Triceratops_prorsus	extinct
Triceratops_utahensis	extinct
Tridigitichnus_inopinatus	extinct
Troodon	extinct
