it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Archaeornithoides_deinosauriscus_TS	Borogovia_gracilicrus_TS	Byronosaurus_TS	Byronosaurus_jaffei_TS	Jinfengopteryx_elegans_TS	Linhevenator_tani_TS	Mei_long_TS	Pectinodon_TS	Pectinodon_bakkeri_TS	Philovenator_curriei_TS	Saurornithoides_TS	Saurornithoides_mongoliensis_TS	Sinornithoides_TS	Sinornithoides_youngi_TS	Sinusonasus_magnodens_TS	Talos_sampsoni_TS	Tochisaurus_nemegtensis_TS	Troodon_TS	Troodon_formosus_TS	Troodontidae_TS	Zanabazar_junior_TS	Archaeornithoides_deinosauriscus_TE	Borogovia_gracilicrus_TE	Byronosaurus_TE	Byronosaurus_jaffei_TE	Jinfengopteryx_elegans_TE	Linhevenator_tani_TE	Mei_long_TE	Pectinodon_TE	Pectinodon_bakkeri_TE	Philovenator_curriei_TE	Saurornithoides_TE	Saurornithoides_mongoliensis_TE	Sinornithoides_TE	Sinornithoides_youngi_TE	Sinusonasus_magnodens_TE	Talos_sampsoni_TE	Tochisaurus_nemegtensis_TE	Troodon_TE	Troodon_formosus_TE	Troodontidae_TE	Zanabazar_junior_TE
0	-562.3865970826481	-21.81916460763592	-389.0343831829476	-151.53304929206462	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	0.9292513454194298	1.0	1	1	1	155.03948687827554	43.36885890223715	213.87868343151058	80.08385839226575	73.9970893712695	79.2770648840647	77.72952835128856	127.04935424268288	78.10763303067387	137.2195167570185	102.62880538464297	71.16253250911105	82.78482443079008	70.33421768165728	79.59022685040266	123.18510621578434	101.6146516272717	125.18494269167974	78.7784744351399	77.22031243867674	81.96753810075994	83.26556565558046	155.03948687827554	71.35130290991904	79.92344503152442	73.71020430483087	79.22053736122011	70.64692797518192	126.99438869797419	77.93072534103973	136.9397202091255	43.36885890223715	64.63653287139938	82.58624607519369	65.02745353163759	72.51273423175255	122.83159357140882	101.52675199114289	125.12782444573467	78.67170165162887	77.1477401536416	65.60519483637665	65.70896831156718	62.34294059484635	71.23285931798048
5000	-581.7686286912626	-33.696267006043485	-405.4821427513085	-142.5902189339106	0.4598837223263446	1.62896422855254	0.40650720529405004	1.1132233562546276	0.47756094249076736	0.8892469247031377	1.0373088196601365	0.7154916202624803	0.8890697474712949	1.0425476187022455	1.1952554217865965	1.1452339414194017	1.71935719714179	0.6280704672184719	2	2	1.0947061040727664	155.85636771394297	46.17491668184187	221.4763836204604	80.11667913226864	73.93364078215838	79.50950272799757	78.79742958616079	127.54769273523499	78.0443094852217	138.45505534183084	101.15138176913275	70.24320463992596	83.16418780237174	70.3080296646696	78.91335554476024	123.04507276040025	107.50910724844668	125.24939647872847	80.0390678992496	77.51772339879054	82.58191757121064	83.70567954563174	155.85636771394297	71.28984219415565	79.92210603073863	73.66982745635815	78.92957276826152	71.8970944149528	125.39210748519011	77.12053628506031	136.5131342033386	46.17491668184187	65.5510620856962	82.51310577217127	66.85199155936867	72.0483864778794	122.92176298791071	99.35308973906254	124.67020731430397	77.70668118318568	76.74671556129042	65.9797925907374	66.41447855125969	63.912064307729146	71.21362694549224
10000	-561.5412381954774	-22.138762501682884	-396.63727936080886	-142.76519633298562	1.0951680814813745	0.9595580941924561	0.40452663381060555	1.1516732168514228	0.9872879881620897	0.5158329481094511	0.6059918050586046	0.5703698541019908	0.8567640924080191	0.3811629317326363	0.7709808274068717	1.1103168936412406	1.8934408654501595	0.6606332428505016	1	1	0.651110414048199	157.538908825552	47.99040523885203	226.49079763165855	80.86107468673642	74.40906563507971	79.88630132391535	78.71657193061549	127.05664129207766	78.38982736201302	137.36207196851421	107.09029764097109	71.54852547598813	82.86355099336443	72.12853579362596	79.21453117648558	122.99901779095225	101.63972810263664	126.04344424793715	78.74799336871811	78.19550731418012	82.42220557292809	83.76543424263309	157.538908825552	71.40615334500099	79.91795061637725	73.36484757711479	77.93309258247866	66.76911243356359	126.6538223747398	77.50368683137124	136.1408796465435	47.99040523885203	65.7142931532918	82.28928349504469	66.69241637990741	72.1432617778568	121.2013995563366	101.58127936447575	125.07442949986563	78.71797192059493	76.77876073888096	65.50929806779223	66.55228560824061	66.03113203484766	71.23498156009097
15000	-569.3097637373922	-23.444757870194305	-404.2072560457709	-141.65774982142705	0.5024755258380638	1.7163198014159196	0.5248506370817667	1.5493770549477432	1.2239955544383683	0.41335631972639053	0.9671250188991212	0.32819224754482407	0.6754422301429217	0.9921931685319417	0.795243273243294	1.223251016092579	1.6631280713107564	0.5615273401460098	1	1	1.9591989407128303	155.8156526027385	49.14887510027647	224.15745512453913	80.07538144791258	74.16507557025643	79.65307956704558	80.4462313935748	127.20954753080629	78.13486622133824	141.11831435821938	101.14199811957367	70.43124242910908	82.89950836445456	73.98178958039426	80.56093069559367	123.14564974782127	101.85408733255339	125.22182602923343	78.77346834880618	77.26903980496257	83.10825247530634	84.00032441592909	155.8156526027385	71.45316446483127	79.79940384180189	72.76446493083765	77.73200847874637	72.7251255748801	126.90975187611114	77.46576738614891	134.17278461402012	49.14887510027647	66.24475684434857	80.77289883922734	66.04987319820009	72.07059004238465	122.95900574722927	97.9943712020506	124.7961527734842	78.63905448441433	76.75795156436448	66.02373820945833	66.66601209616594	65.34518515212771	71.26420341964332
20000	-571.0725848129781	-22.377529007313175	-406.7608446351948	-141.93421117047006	0.8454760873643676	1.307872499949181	0.32316616303632983	1.8778157352440494	0.8630683931521936	0.44767536460597873	0.45854094135183493	0.44798355856174993	0.669247398301755	0.7489179558002755	0.8840554024446855	1.1986458890118854	1.3699754570977971	0.749457064710444	1	1	1.4732524430854417	157.0491999969691	51.04412212375622	226.59220363275745	81.58039177606327	74.2024491787938	79.5043302323167	78.49851945769723	127.04845658293017	79.2675324376603	137.01172275223618	102.50787511502104	72.00712004281374	82.72419056265085	72.90311754174613	79.88314951750455	123.15922784934747	102.06577749397118	125.23239496087018	79.17152342485026	77.74811757680213	83.3706713545076	83.73211876117045	157.0491999969691	71.33361891797794	79.59088838373258	73.41538014503654	78.97943218177186	67.8772181744237	126.86406326262465	77.45414259711846	135.7175021768444	51.04412212375622	66.2716538009551	82.46577134509805	67.03369529836147	69.9417148465955	120.49971569401896	101.17177030189895	120.8370259856201	78.3865284296889	77.0252761632498	65.98066768929101	66.64193305255748	65.93036003899363	70.28044020950549
25000	-567.0036662960954	-23.064413959374214	-403.1775347438881	-140.76171759283312	1.2899175386154624	0.7143502041487606	0.35483118407451086	1.7069385999051239	1.250902441631967	0.2962166320217591	0.32849390457576605	0.4184913571136921	0.4604053412973096	0.4515373611223747	0.9925674497487956	1.1418000339926808	1.577552642090228	0.7114807169112953	1	1	2.111484566528402	154.33526593224948	53.342315057898446	218.86314893576315	80.05327379517827	75.83560559925803	81.34874391706657	80.96278692811076	127.16520149584267	78.04030258447597	137.3178575958792	98.38156319804853	70.53921633452025	83.17435873540556	71.88429530137141	79.06883262098151	123.66932326272652	101.69044534776819	125.25627339699449	79.01140638571033	77.68930498647737	83.40550081195452	83.42707627501726	154.33526593224948	73.27604870351841	79.73298185370543	73.20664778402868	77.3969095850383	68.45425037482563	126.37495651903225	77.8967378037946	135.87781176590744	53.342315057898446	64.42171920172001	81.61913653307224	66.37096434139282	72.42709081387707	121.22576621402999	101.60163991018288	121.9727150328	78.57247340545067	77.13221273882981	65.89001353894977	66.67774770908214	65.51519146555069	70.96025262362329
30000	-567.3626310048768	-24.969965148289575	-402.0829870700373	-140.3096787865499	2.0344515826548086	0.3108863962657066	0.4660807111272868	3.5572650125424103	0.8966517827708047	0.2719334708561625	0.3835636148143263	0.2892470148078459	0.4047747101635427	0.32780017293622754	1.3677651975707754	1.2172074801943842	1.6239566889913397	0.6388266795465106	1	1	0.5949934912501842	155.02555246710824	53.84860768744003	217.3428313824126	80.48041162709728	73.90832394503879	79.3002289754564	77.75034306395067	127.98990765572373	77.97837293197006	138.7344030558378	100.9148322526535	71.69214945840058	82.91886122048821	70.42908954806376	83.35580165987989	123.04957789599264	102.88326390139368	125.45325400220361	78.90428665676973	77.65694480472847	84.50446286648443	83.57308509551348	155.02555246710824	71.3576940316275	79.76978412863485	73.63923945727404	79.26004505283657	72.70659359268541	126.92611267667911	77.79201837004366	136.21036967661286	53.84860768744003	65.77241746108014	82.21527047568813	61.79812256531359	71.54783054893609	122.07490170390209	100.1499146471722	124.49355068088188	78.69084005812806	76.14734409599252	65.40811120002593	66.7095975069411	65.56877116859637	69.78857297910517
35000	-577.6661174158784	-23.56898651751271	-412.70231910609004	-141.39481179227562	1.9430012323713157	0.17832516043519914	0.8039337680881148	1.6088660481197932	0.5477889362242873	0.20777904713566608	0.13629543184869064	0.3835466165687091	0.5626353292858876	0.590846770613561	0.8429016664547215	1.0783947466109896	2.0934560510239906	0.6268702227045051	1	1	1.6763780189997073	154.48486041706084	54.070478132392694	220.29434924702434	80.14866306907915	75.24393134917734	79.38593452199797	79.3018466147844	127.25606671850211	78.98779012326035	138.83583174025216	99.78556615489747	72.24416406279805	82.6723550200666	71.66467661721032	79.02915937257376	123.26474968725657	102.13483700361297	127.12444761490161	78.96317612020593	77.64224630787635	83.18803539625081	83.38434301158121	154.48486041706084	71.60394319530732	79.959622869375	73.70489000432521	78.81593136500484	71.82514521128994	125.66634110742517	77.03434064315333	134.8982619172476	54.070478132392694	65.36224697404688	82.08091444143527	64.79826695088731	70.69484341174432	120.69504677029444	100.51650956591571	125.08959350969842	75.5054274756997	76.79777361433125	65.16441405804879	66.68355527291565	66.15454404915194	70.53412752724547
40000	-563.9654333202216	-32.62200505526838	-399.5547941294266	-131.7886341355266	0.8976655539376974	0.31456531426523704	0.895787356357818	1.247028093423654	0.5067549998552952	0.17628974299023714	0.19290925538857392	0.2535759909987287	0.7537206081342727	0.5748009181035805	0.5865844024101248	0.9087736641141421	1.8455248550467205	0.7304530228405095	1	3	1.6292222559366603	154.2744281797413	63.7995386354381	209.7233917334921	79.9957317300557	73.94320964821938	79.78113629835002	79.86886695063839	127.35474650649574	77.96689985513873	137.8021669164591	100.9339179086783	71.72004519473352	83.0474144959691	71.01051557874861	82.26072476646935	123.16377667412992	102.31504941857212	125.7541630839234	82.52364822124632	77.53513281399174	85.07752931541525	83.95923273789874	154.2744281797413	71.81644917828638	79.94736494237087	73.86215894695226	79.05536880368173	70.54504704370223	123.56009535867805	77.6344725189006	135.8542940684146	63.7995386354381	66.36032669762066	82.43619005660406	67.34521053195908	71.85236264879876	122.65389276010652	99.90697381355551	124.40117598196443	77.40301617018886	76.40035760926504	65.475085109908	66.67753363320254	66.00910051593402	71.2018278924231
45000	-559.1402033633309	-28.704113817229572	-396.8266499859368	-133.60943956016456	0.7807458094591482	0.8277615121613872	2.1682426364038005	0.8882703203195021	0.6309202707431167	0.10967497096364592	0.23993569940881124	0.18178349176005634	0.485528213379757	0.8170543827723311	0.41239500074049956	1.2491982561640191	1.4279228556724117	0.9714778885584848	1	2	1.3045711205728419	155.04686136287478	64.73262808362956	210.07000336067873	80.13040059140278	74.22356730784655	79.28546729095129	83.30860297040839	127.75761493814102	78.09048263965612	137.04371930320565	103.81143427272242	71.30868003138177	82.8222626476416	73.22042778538037	79.79724857137033	123.80111572641158	103.35346552864475	125.34765507806264	79.1340299550234	77.93446422168533	82.28943606225694	83.55339856916918	155.04686136287478	71.33278802703319	79.84180943248452	73.76128456520763	79.26599570805165	70.44408011439326	126.96640169817903	76.11556565194162	136.67898294024545	66.04995270849341	64.73262808362956	82.54480338384724	65.41659642123375	71.07842522163715	122.49097427447781	98.44393281522265	124.33322601470407	78.19344275178038	76.88173067830728	66.0337955122118	66.65552699001402	66.09982924296605	70.49413531156299
