Species	Status
Archaeornithoides_deinosauriscus	extinct
Borogovia_gracilicrus	extinct
Byronosaurus	extinct
Byronosaurus_jaffei	extinct
Jinfengopteryx_elegans	extinct
Linhevenator_tani	extinct
Mei_long	extinct
Pectinodon	extinct
Pectinodon_bakkeri	extinct
Philovenator_curriei	extinct
Saurornithoides	extinct
Saurornithoides_mongoliensis	extinct
Sinornithoides	extinct
Sinornithoides_youngi	extinct
Sinusonasus_magnodens	extinct
Talos_sampsoni	extinct
Tochisaurus_nemegtensis	extinct
Troodon	extinct
Troodon_formosus	extinct
Troodontidae	extinct
Zanabazar_junior	extinct
