it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_TS	Albertosaurus_sarcophagus_TS	Alioramus_remotus_TS	Alioramus_sinensis_TS	Daspletosaurus_TS	Daspletosaurus_horneri_TS	Daspletosaurus_torosus_TS	Gorgosaurus_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanotyrannus_TS	Nanuqsaurus_hoglundi_TS	Tarbosaurus_TS	Tarbosaurus_bataar_TS	Teratophoneus_curriei_TS	Tyrannosauridae_TS	Tyrannosaurinae_TS	Tyrannosaurus_TS	Tyrannosaurus_rex_TS	Albertosaurus_TE	Albertosaurus_sarcophagus_TE	Alioramus_remotus_TE	Alioramus_sinensis_TE	Daspletosaurus_TE	Daspletosaurus_horneri_TE	Daspletosaurus_torosus_TE	Gorgosaurus_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanotyrannus_TE	Nanuqsaurus_hoglundi_TE	Tarbosaurus_TE	Tarbosaurus_bataar_TE	Teratophoneus_curriei_TE	Tyrannosauridae_TE	Tyrannosaurinae_TE	Tyrannosaurus_TE	Tyrannosaurus_rex_TE
0	-1159.3722979554575	-19.83730222930845	-859.6315295446149	-279.9034661815341	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	0.796502910365942	1.0	1	1	1	136.1556399243063	57.76697143842408	254.5515956687551	85.49005414326633	82.87763829334958	68.42949679473595	67.89322787000587	86.6474424599705	88.4558741550523	82.89684792988507	79.62539289098581	81.89438947669176	78.25639299254028	69.37046545938908	68.7996571677788	82.8551673136075	82.3908360842352	81.37019981875258	136.1556399243063	82.5306242306082	82.87749374219408	75.6036577095353	66.80909874565505	57.76697143842408	68.36446887537976	67.61192936339076	68.93245312849368	65.82026716725348	71.02150137080598	79.6188462437497	71.51717788325774	78.01464885631835	69.19914813568018	68.71622957970465	66.05173721453647	64.29955885194859	66.45108562781772	66.10468420946914	82.29078587261995	65.42397609738596	65.85433412624417
5000	-935.8947707902789	-30.68998971347672	-783.0756958426456	-122.1290852341566	0.5838963356590944	0.4829923575731802	0.36199003932424395	0.47586021464339795	0.1932114412687367	0.7278239162246126	0.7023018264825617	0.6449895649260389	0.3126791009829022	1.28018386200707	2.3127713448596787	0.7501975835205722	1	3	2.093521294614918	136.36805077993162	58.78935642983544	276.5098381679652	85.07556648886914	85.56471477175039	69.17711102745017	68.19358841900791	86.49113728728734	87.46492793581503	88.43411289834853	79.79669801189466	81.55601895102326	79.68671523746433	69.95067904837714	68.8492542420286	84.47530474928024	83.59995969101456	79.61665720691774	136.36805077993162	84.90058911276304	87.05271211792096	75.70326231480998	67.05140858706761	58.78935642983544	67.8816441149155	66.89579028508463	67.24569313093994	67.51990617564385	72.33887444083962	79.54601533419337	66.85058415096213	77.91870082124207	69.06929748165548	68.47706747236693	65.86333995695632	64.92206027852299	65.99833103742685	65.99274614569774	82.03561815886837	65.26177258149647	65.78901554027414
10000	-883.1339516589089	-27.038636399917795	-741.3682520279352	-114.72706323105592	0.6244482720753728	0.23677033869857245	0.5343640399330418	0.328102424195683	0.0865278238114651	0.4489700603825683	0.5766813286780179	0.5520786015137942	0.5158229604894627	1.7645639237182138	3.0888670912462763	1.5055375348359812	1	2	1.193252442209607	136.32304467646276	65.61367876215563	250.23802006604478	87.9242958827298	87.00745628294858	68.42498894613814	68.08875716234209	87.6782965100743	83.71547498440025	83.58188452022513	79.76087140107974	82.27630825771541	78.14592614160976	69.42058877462578	68.83730221396449	84.99099807529456	82.00111249434657	77.3691819422423	136.32304467646276	83.1531908881846	89.70867517085713	76.07739571004235	66.67327143742062	65.61367876215563	68.40898333752205	67.66696958493793	69.19625814115906	69.05772961316892	72.03649053693738	79.3283548842824	68.54811369023258	77.85975562568362	69.280889411587	68.61813805016722	65.75141417774488	65.97737366498085	69.71884400508296	66.11293849369567	82.39752383134831	66.07156071312556	65.92944200800633
15000	-876.0177123247258	-26.622376084839708	-725.0113661273723	-124.3839701125138	0.5355498987385581	0.3837066268343679	0.5027445732076057	0.06983989680864654	0.0624604564943705	0.43916684578413967	0.6051881417692504	0.49424375944661253	0.2997329075851488	1.5566134504337998	2.6090953184744134	0.9308769917499349	1	2	1.8024440456499982	136.34254601743254	62.3310976201656	254.91359928522706	88.15926766564318	85.34253671790034	68.44804078328234	67.80510054115683	87.72370757397077	86.80571858305122	82.75216777631678	80.04938886973069	87.23638337595176	78.1472692157602	69.36458836510258	68.77268102621528	83.39845718737388	85.6779421339436	78.60858107342705	136.34254601743254	82.67509346835962	89.80903181863714	75.68904878735302	67.9019481688624	68.5289743727045	68.38452222161021	67.74978234843981	66.57921881076709	71.2172457963353	72.69704198963969	79.51090877892803	70.95002054769246	77.4915899336932	69.35447944574791	68.75482522174867	66.28182251199391	65.91059262648439	70.13485997053924	65.84807857239689	82.39996534572363	62.3310976201656	65.86697741190879
20000	-877.2338317031077	-26.919289729970938	-735.4082303374792	-114.90631163565763	0.21553156440631652	0.3608066314595511	0.4193912791569645	0.1531045590709951	0.06982124227494167	0.4574035737841911	0.5313034898617802	0.7285729589242429	0.1810674454274653	1.5488578176575163	2.9445915079030294	0.9094395015407837	1	2	1.6690961859365405	138.1335003693218	65.01854363605577	244.218847142933	83.33100644460572	84.12792436741515	68.61885922108739	67.81483804434681	86.25168033401589	88.25572656193371	84.30756078900676	79.6401914219576	82.0775326426778	78.38638821459435	69.45119624327016	69.19170056178277	83.74113655064035	81.6951465733103	79.24701337225885	138.1335003693218	82.94929487838536	87.69940261690496	75.9988008811261	67.79741122610108	68.2875453707273	68.18991002006867	67.59140076017826	69.85559931419225	68.0256851063304	73.42012982529812	79.59274079268243	68.47880930190169	77.52889082054982	69.31463923873564	68.67344189614812	65.19951129092367	65.93320107897013	69.63057918563078	66.15814556260705	82.33478803032158	65.01854363605577	65.66908048828616
25000	-866.8030692178625	-27.839963060294963	-728.4465695559693	-110.5165366015982	0.17388165969676816	0.37667747900729376	0.30129985172776247	0.05524333680969923	0.07223262280162712	0.2436333377005369	0.21734033131796004	0.5529654176437304	0.1553880695669023	1.7644496286663824	3.010871385018712	1.1373566015541285	1	2	1.5454753800236531	135.87140399590655	65.40149155513492	249.82408303387166	82.97767964677911	83.16879159341379	68.43885274543482	67.77922409146221	88.00811874370991	94.38219039522022	82.76912063209204	80.01249988785439	82.63334590521566	78.06606973437417	69.38857333926741	68.87015136256126	84.06680336223421	85.57271830505981	77.37403005898402	135.87140399590655	82.5253027095822	87.11189363169996	76.33927743821859	67.83939321958384	68.03770255146829	67.97683175009917	67.75227878191335	69.03460651411105	68.91567643015728	73.4758037877981	79.28985605430411	68.523611436883	78.01227837071188	69.21600377346527	68.16757211786052	65.40149155513492	65.52397794716717	68.9392094564046	66.05544691983297	81.33933971392746	66.16111174184951	65.86977242252615
30000	-873.9880899262135	-29.23732912724874	-730.7475412673648	-114.00321953160005	0.2020124090779567	0.196896250898029	0.3306707448173147	0.054137560155545786	0.02756263892545305	0.12109064273209799	0.14132575039319353	0.4491238616327044	0.13503918685725108	1.8561648984164636	3.2187378405823375	1.1118374571366954	1	2	1.3987141457883454	140.859866030228	65.17460810534148	263.9429934706118	83.40354892285681	84.80037590248776	68.47199113795473	67.76688456170231	86.39351195880192	97.13167982985158	84.03017655257717	79.67839642348993	81.3687583941599	78.09751199312164	69.70946386705128	69.04525814271085	83.54599764288764	83.87832172690077	77.88069351454668	140.859866030228	85.5291733231273	87.14655945086989	75.6807638342976	67.90003670646836	68.02310108692188	68.39817381717741	67.32709539708452	67.77819045620548	66.31936172680652	71.05204599068276	79.5880572588401	68.34447818904069	78.00338044571704	68.42801743906941	68.5018875048095	65.88610765561126	65.17460810534148	69.54331639733248	66.17550707660017	82.31379617021015	65.82427340158362	65.89450491350918
35000	-880.0668120784296	-29.54090026334915	-739.9654997440533	-110.56041207102714	0.18681794527142417	0.16420955404491924	0.3529165398401128	0.05560779838138652	0.03744975831526549	0.06297207274488639	0.20422590314182307	0.33913606635959453	0.10820732116684814	1.4021902989781705	3.3319059715594066	1.0568284430983228	1	2	2.6045596783611122	135.88879339128104	65.654014091511	270.67775065663074	84.94106471665276	84.04298767230976	69.14822672793248	67.9883170674013	86.35537437086708	103.5573018937655	93.03552740279629	80.68604613012795	81.84087964038174	78.85228831045228	69.46182044481635	68.77607467016234	83.09976324543979	82.97648626405815	77.45037605078403	135.88879339128104	83.01035313102003	83.3532667404681	75.91645462535419	67.4465551567916	67.45575909824984	68.41714540986038	67.73788387659066	68.19059386847393	68.85806257096498	72.86781256150297	75.70133392759597	67.88853684472205	77.57423438144686	68.67108213389528	68.7473613211763	65.654014091511	65.94380419124442	68.24767165140366	66.15878818488052	82.42101354919943	66.01468276591005	65.70731625402053
40000	-891.0040845579565	-36.50060311643167	-739.375001763458	-115.12847967806681	0.06603348024976477	0.18782810842004202	0.39794161354391716	0.06564869643810371	0.026070831025569074	0.04454930126520087	0.2718147579378431	0.2814878184110402	0.19131739161318587	1.7550117885057928	2.865861977880075	0.8753941065222484	1	3	0.5605839744360108	136.9869065377862	64.33199128491094	277.1083541918807	89.39130094097864	82.48679428059538	68.45609280153768	68.32631146595261	86.89289991917542	102.66135760399567	90.06494998255529	80.0173549361134	82.21953280764865	78.22758699147596	69.3852648677115	68.94955453988007	85.52332135893586	82.48698373784984	77.98394475096205	136.9869065377862	83.07041333536597	83.44406106417674	75.63548431441497	67.53676436680841	67.3984145562578	68.3335101780461	67.40771679270453	67.14387072317714	67.72752593433094	67.55126451638804	78.9940551776771	71.55036919038484	77.76190748443571	68.15301266953506	67.26126560428374	64.33199128491094	65.47987753904958	68.0185538936687	66.13397156753385	82.28873808897814	66.05702419435015	65.9719282827104
45000	-889.2276296968249	-29.02751912837777	-745.9882754889986	-114.21183507944852	0.021988900143435533	0.3434231886518444	0.4097280329213368	0.05774470793252266	0.04503341378752891	0.06847082778068717	0.4365029384766423	0.40388706776553496	0.16488163005303932	1.3064227201255383	2.9063846694482836	0.9660095476542349	1	2	1.106538429504541	137.97996846036142	64.25207707161708	292.1585631522417	97.35651696785696	87.99329375096103	68.42554203925201	67.9790638966234	84.93569626481042	103.02997633857576	83.8910140136643	79.6455380293194	87.78197038608621	78.24296224085832	69.48446086844383	68.93647199645432	82.83391260177793	82.26914953940631	84.15205585869661	137.97996846036142	82.59840687134164	86.35024325309762	76.66312576230415	67.49917653290312	68.53971060707612	68.07613309840839	67.4612553536245	67.98799740638107	68.57810933135649	68.44676297384012	79.50998575831954	68.65289559858718	77.14073006557163	68.74084767157582	68.56620785577597	66.18526524108488	64.25207707161708	70.62926906103607	65.96637851647004	81.92410103923103	64.36133862194741	65.87256418284346
50000	-888.9494573995171	-28.780579652985516	-738.1861308694525	-121.98274687707908	0.04559043317792478	0.43344507512421	0.15160146293821866	0.025237489755297958	0.025437813969431382	0.11192835869432315	0.5035779673715597	0.17853379523416024	0.2677655334623211	1.2750927390774784	2.493141669224894	0.5716640282073943	1	2	2.1354352996908132	136.0335861749069	64.67536549772257	280.9134952548994	92.60095837908929	87.38199579413522	68.88452212763644	67.8412885942642	87.37391499640067	100.55141644238118	84.01251603893657	79.6241225069334	86.16949843957796	78.12674906547338	69.68668321446158	68.91934970850149	84.1529118237065	83.00380646152439	88.14050953995117	136.0335861749069	84.78630104782589	82.78359328751758	75.65608044352294	66.4928020646242	68.54396330414241	68.27595992838646	67.40202739491201	69.15403965532921	70.870347646118	72.62764107780974	79.02499771294814	70.31295373127	77.44932224141586	69.36115831156124	67.69216218488894	64.67536549772257	64.94770327470678	69.11104440019002	66.08153268514566	82.03656369493676	65.25812735746298	65.49859666827636
55000	-892.363355157281	-28.832274123373118	-743.1346092486187	-120.39647178528912	0.05836678965163898	0.12174168115765499	0.1824896548611197	0.04942497183473635	0.04734774424573523	0.06759261709247438	0.3777388601200932	0.20459060672094243	0.35578394063685476	1.1584611373830414	2.51323282669694	0.5410013621898162	1	2	0.9841739617351926	137.93628285328614	65.11627523516682	287.6729966969675	95.37937340816241	86.97219798379899	68.48649056245965	68.14722900642302	85.32094626030977	96.92530259321654	87.26931347191476	80.81236026013354	83.61868369700436	78.5293697580379	69.73119895205426	69.88529548947207	87.47688825024474	82.75210365673286	86.27538288421978	137.93628285328614	85.91925851297025	82.79031546589822	76.24068705025849	67.6149216420339	68.16153030375891	68.36805052347403	67.49444078044448	69.47871347618882	71.36044736800652	68.76023405877434	79.3163419211623	70.0036926153664	74.57722713423135	69.16637212818387	68.68178267135579	66.22766130274945	66.0734048465151	68.04818000461248	66.18378131728038	82.22857245135422	65.11627523516682	65.93405363897108
60000	-883.6819309747195	-28.7406253382478	-734.0893131137208	-120.85199252275095	0.07010633158912512	0.27185503036189634	0.318034282570063	0.030235931033387457	0.06267316718436934	0.10068857779192701	0.32968902996330707	0.13605051590836964	0.39371632520085026	1.3238686100528259	3.2242332245750958	0.6020594997196415	1	2	1.7932928201014007	145.1095068422911	65.37859007758044	293.6471660493716	95.84361415407018	82.74508371450219	68.96274786460789	67.75920328365373	86.49174266048522	95.4555413512401	82.75723132075484	79.6863519800877	81.39652456823475	78.38126642129724	69.9525141602088	68.78507341448562	89.627638310786	81.56756175053509	95.22445851925684	145.1095068422911	85.81289535010141	86.67258489052868	75.72010069078216	67.27808555652226	67.83930077542493	67.77690285019096	67.75372744625142	68.89125000541459	70.43478761028973	70.08999500317304	79.28691182357332	70.99021562555224	77.69224002084812	68.26228703777966	68.74317339450651	66.29041491249342	66.03611432681323	68.43832803512956	66.06257169546258	81.19336345942655	65.37859007758044	65.86621554210541
