Species	Status
Albertosaurus	extinct
Albertosaurus_sarcophagus	extinct
Alioramus_remotus	extinct
Alioramus_sinensis	extinct
Daspletosaurus	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_torosus	extinct
Gorgosaurus	extinct
Gorgosaurus_libratus	extinct
Lythronax_argestes	extinct
Nanotyrannus	extinct
Nanuqsaurus_hoglundi	extinct
Tarbosaurus	extinct
Tarbosaurus_bataar	extinct
Teratophoneus_curriei	extinct
Tyrannosauridae	extinct
Tyrannosaurinae	extinct
Tyrannosaurus	extinct
Tyrannosaurus_rex	extinct
