it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_TS	Albertosaurus_sarcophagus_TS	Alioramus_remotus_TS	Alioramus_sinensis_TS	Daspletosaurus_TS	Daspletosaurus_horneri_TS	Daspletosaurus_torosus_TS	Gorgosaurus_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanotyrannus_TS	Nanuqsaurus_hoglundi_TS	Tarbosaurus_TS	Tarbosaurus_bataar_TS	Teratophoneus_curriei_TS	Tyrannosauridae_TS	Tyrannosaurinae_TS	Tyrannosaurus_TS	Tyrannosaurus_rex_TS	Albertosaurus_TE	Albertosaurus_sarcophagus_TE	Alioramus_remotus_TE	Alioramus_sinensis_TE	Daspletosaurus_TE	Daspletosaurus_horneri_TE	Daspletosaurus_torosus_TE	Gorgosaurus_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanotyrannus_TE	Nanuqsaurus_hoglundi_TE	Tarbosaurus_TE	Tarbosaurus_bataar_TE	Teratophoneus_curriei_TE	Tyrannosauridae_TE	Tyrannosaurinae_TE	Tyrannosaurus_TE	Tyrannosaurus_rex_TE
0	-1115.5409101863177	-19.510222257792964	-868.046714284902	-227.98397364362268	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	0.7823555322688782	1.0	1	1	1	135.90016218958638	62.88702857672026	268.52191489140114	82.69120036641122	83.28182824290518	68.44283132352145	67.91568533112498	85.55701560572538	108.11628931418089	90.40513005881913	80.0074988921619	83.76009799380684	78.14094004312697	69.37892199498708	68.96691705573066	83.67720994098416	82.5379259187268	77.42520965318691	135.90016218958638	82.77542735706108	89.91807486895334	75.69068049497177	66.99137033088307	67.38119945530525	68.4000312933495	67.34720908250178	67.90944577280234	69.4871147662373	73.54858635806438	79.59867605183528	71.25688763708877	77.94608814814994	69.27949890504382	68.64930779953299	66.02680974082638	65.6308226131657	70.38884890209538	65.12381193121803	82.42009964542795	62.88702857672026	65.7942947443229
5000	-902.0061225888694	-27.21271852185692	-755.420483072238	-119.37292099477452	1.4827282136425748	0.5531513456243706	0.47136786907857564	0.298501672304765	0.23492858767394184	0.3094066907678954	0.3818329839619927	0.6561488375256089	0.8600241398321294	2.227186318890208	2.88879363660194	1.292546429725675	1	2	1.8990819764477598	135.86669576555215	63.13019730056297	260.7108828990648	84.14397142102374	82.8747763149643	68.51157601953025	67.76131893963705	85.44337443977332	103.07287894028596	84.63070342164525	79.6558941990005	81.39613514106631	78.23400589299274	70.2534255020687	68.77927546041177	83.18052661339686	82.57375381260245	76.80010889403209	135.86669576555215	82.69937285278019	86.91267641223816	75.63309778399919	67.63778300227361	68.37242101505323	68.16746102431638	67.73335843860741	68.28946060476666	67.05873285819848	70.97584697798933	79.58299762940878	71.22025944861136	77.79769415224176	69.21291352651396	68.70578326035138	64.03391903291802	66.01237943831781	63.13019730056297	65.98606614302997	82.3451493863203	65.58196136874821	65.86830031970646
10000	-891.2334051371603	-27.28063514527848	-744.3458100170017	-119.60695997488017	0.6517248821718643	0.7984766986856705	0.24505065074445992	0.189659659158822	0.13876142609254571	0.32914001513943425	0.27667460748213	0.3079473504851405	0.9475091067625753	1.386001824873999	3.2613822178144463	0.91055777954055	1	2	0.8164866170335656	136.17396284916825	64.92656079077292	266.14894394336903	88.74668066804847	83.38789046678725	68.44987886788229	67.8467827594628	87.50599072116111	106.73284331375352	84.42694985598013	79.91718253031661	81.30694343645943	78.07617875805236	69.44087535505979	68.7606134670528	83.21213451529223	82.57912725209533	81.49800611638405	136.17396284916825	84.06350054854713	83.73768088973944	75.82883285624298	66.23170746489413	67.16077443510564	68.2630832627581	67.16981042045524	68.67445963751068	70.68126362976915	72.96240167767104	79.51089059444053	68.41652916431529	77.21774465314367	69.34722878339134	68.64543431161104	66.33591102924224	65.7588662361628	69.86212535256806	66.16795199977096	82.33050462801377	64.92656079077292	65.87986321252039
15000	-894.3684741982186	-34.405541729595726	-743.1811348306713	-116.78179763795151	0.4747042879152138	0.6027370807389675	0.1988873752497893	0.19292636370261698	0.15040297502539293	0.22514720616544964	0.23041198763431484	0.40796999211801915	0.39188323664540037	1.6191036601437878	2.916029727069373	0.9989718037150678	1	3	4.865415058435638	138.5669089148137	65.23849174332523	283.74428853778056	93.83668264168182	85.3248069355213	68.45024009317517	67.95861218898125	85.1695441975421	109.75932653684833	84.32354479426449	79.6786754936941	81.64302390309606	78.36306526737013	69.42168645281842	68.77648904846363	84.00096423975239	82.08010273701426	88.87320089178675	138.5669089148137	82.57140824085249	84.00268147892521	75.72254510356036	65.23849174332523	68.12281883897592	68.39852965910103	67.27879850019626	69.26328542259101	69.49134716803059	72.98014332310764	78.68127269714587	70.08907764097096	77.78371091958455	69.14896345265106	68.74007370545034	65.53763246907276	65.28973173850129	69.87438594634176	65.93692543492794	81.11300068638803	65.97928176629709	65.83174950972206
20000	-879.6828083362943	-26.938498349991605	-733.6346771346665	-119.1096328516362	0.24340669965348755	0.6016161281766527	0.3150493952137274	0.14757180828422692	0.12446282550928597	0.25755815806100735	0.23457466252208664	0.1857544009673583	0.22796403521332914	1.4430464222677242	2.9680862211036696	0.575985784724597	1	2	1.7939552049348886	138.1679603668113	64.39193276430609	283.9260285818492	90.17966875855488	83.45849735092591	68.8950012880842	67.89372439764394	85.2958558654506	113.38346537321392	83.78969610190983	79.65465290604598	81.96896350528088	78.55818387169992	69.36434207591513	68.94093858027703	84.58501656577933	81.9726431176389	84.88164154177782	138.1679603668113	82.6874586221281	86.86047834927938	75.58538468925697	66.54491786289839	68.46964876870143	68.3736235924317	67.73234068761873	69.33200176537359	69.80943483560064	71.77723786765749	79.60068931081169	68.9881029683548	76.81163190309391	69.35871463084014	68.67678148765131	65.22792766361862	64.39193276430609	68.31471217211775	66.09563302435886	82.24115632845988	64.6756487231137	65.77540838881606
25000	-877.3959891554266	-32.11086332338148	-730.2034611256355	-115.08166470640958	0.2099336212682619	0.6817618713567714	0.14407014069729587	0.08479545251845404	0.09718363344081112	0.38803176488751917	0.3871046275012536	0.11566861741823582	0.34066493151606536	1.6150586394365316	2.7175811408087527	0.73991769625829	2	2	2.3926676747590916	135.99881293567444	65.67145503450818	277.4038379868871	85.16063776668075	82.87126953823933	68.55284488078112	67.75907138239461	84.90211462297779	110.42202141793278	86.55359565631082	79.94287576406832	85.86947158907347	78.23320334175219	69.39834708039061	69.42789234188805	83.13011189940393	84.15447738512158	87.25499269061785	135.99881293567444	82.56683914649795	86.03889355415033	75.59174739382267	67.80524571642816	67.88612945336996	68.37741706795951	67.7386344430165	69.13945339452434	67.7600890596705	73.00822858834299	79.0340338247122	69.00551823249987	77.89833389485419	69.18980745487791	68.27671548501075	66.15630144573983	65.67145503450818	69.44689371592666	66.09519028877956	81.89709853186355	66.04322895726439	65.99560781154248
30000	-888.9573952253419	-28.304186274896793	-745.1226528040858	-115.53055614635934	0.1409826952045253	0.48449367884264294	0.10647018578379089	0.08263548126922252	0.06291011337993814	0.12879804478779766	0.440101774688924	0.25617978493220117	0.40457385324115447	1.8252359667901363	2.528549623039269	1.3566622387247502	1	2	2.306797660855111	140.26642781529836	65.63592546491545	279.64453767046916	83.1870004914077	82.47184722982637	68.6914857061113	67.80073514506083	90.26681901072156	108.63758562609159	83.52552379962717	80.7136923983103	86.64577011396047	78.55462049013241	70.06545016031407	68.9177937795895	82.79175068644817	83.49389640444242	81.6018634227912	140.26642781529836	82.61296718424406	88.01600363650046	75.99126755919684	67.44660010134857	68.14776401254066	68.35895839747577	67.31566800635333	66.76045128493263	71.58810727906484	73.1229496419267	79.14429330423607	68.66767680609473	77.42620249632876	67.95244290486954	68.65876964215204	65.63592546491545	65.891071098064	68.55598416680179	66.08378196093516	82.06599506872898	65.80833436894402	65.97698698389254
35000	-876.5432597072883	-28.126943608216983	-727.9613885257274	-120.45492757334387	0.16868741628106226	0.4746116827047935	0.09469540531427971	0.059009440888697515	0.049798861275227375	0.1876253546557665	0.38389552993303416	0.23468970779714568	0.3620423998344039	1.6941624016852936	3.006814252455888	0.9841230355596422	1	2	1.2857893267952893	136.1092426148362	65.0770580250102	287.0975436301359	83.15466065424503	81.93837594307685	68.50889243463625	67.76613763755633	89.53573280199248	110.4891307707515	83.83213944848578	79.87280824136774	89.52279526861317	78.55273532088178	69.49917870730609	68.7710614664122	83.75423160653608	85.35574196937132	84.18792518530174	136.1092426148362	82.81389196222142	90.630115926055	75.63466036201126	67.08141617160321	67.09312726975529	68.39381080346568	67.71682260272804	69.61357771070053	70.27934491737213	72.75223655495346	79.56898674534106	65.0770580250102	77.99000131810116	69.32145755702071	68.5799978569003	65.76430653705008	65.97555758942646	69.98177186028431	66.19423461639707	80.70857242740509	65.29626709089696	65.44336703711059
40000	-881.6092345857896	-35.49787294483096	-726.8906923545463	-119.22066928641232	0.2249709080494923	0.20823360968571944	0.09654556254990206	0.03186454649405052	0.012144275929588888	0.1651640674605429	0.34749272426570066	0.28284718017352267	0.3952635700954863	1.4909952210507327	2.8989979879796577	0.9746205693714798	1	3	2.5788708147479134	138.83537649751196	65.1657357754328	292.3395584303639	82.81545763961874	84.88959774412373	68.61547641912686	67.9343814626593	93.68889270875735	106.53531171626753	86.38008830383599	79.90423345353052	89.36312985383721	79.22300029344417	69.44160657181655	68.95069802423052	83.34811224259848	88.34970623638483	85.50850206983245	138.83537649751196	82.684864601316	85.40183796285082	75.67986542778765	67.7654900547457	68.39810966735416	68.40213916274183	67.21226621115623	65.7380376493646	70.09477301802822	69.90486722368878	79.30655028295128	70.65461321593887	77.96146458229123	69.09748782829283	68.69454414299884	66.1457514166326	65.91348382108566	70.50999514810988	66.19329697921043	82.13627313567424	65.1657357754328	65.91570148346858
45000	-869.9449703172844	-29.92112620727276	-724.4648124048292	-115.5590317051824	0.25848801963465956	0.14301782237828237	0.1554380413313275	0.07644749821090187	0.011885070417467048	0.1728705857622549	0.3819322527513246	0.14331787062633558	0.11520577782137668	1.353855521880596	2.7130380168075994	0.6905488346258979	1	2	3.378569416869241	135.824003598364	64.8611883088396	283.01664521780344	83.3578064462611	87.72112360590572	68.42156692163792	68.0747890259382	88.09402240064887	103.81112225819096	86.27709595573619	79.77551820934687	85.62443546731544	78.21215992958437	69.39188235502381	68.8116648613977	83.33836143543299	88.94958816097964	86.30148370966744	135.824003598364	82.81103824266663	84.1207994749167	76.59630479688185	67.76174901022864	68.14840486203057	68.3830839455743	67.72457949145314	68.90128975848951	68.34167796925061	69.39181662103574	79.61284851242316	71.46434004276553	77.87669334631416	69.1326252875503	67.98606111611723	66.28178700602669	64.8611883088396	66.66166797953201	66.16206329239158	82.01386805591356	65.81055364010531	65.98182339205128
