Species	Status
Achelousaurus_horneri	extinct
Acheroraptor_temertyorum	extinct
Acristavus_gagslarsoni	extinct
Adelolophus_hutchisoni	extinct
Agujaceratops_mariscalensis	extinct
Agujaceratops_mavericus	extinct
Ahshislepelta_minor	extinct
Akainacephalus_johnsoni	extinct
Albertaceratops_nesmoi	extinct
Albertavenator_curriei	extinct
Albertosaurus_sarcophagus	extinct
Aletopelta__coombsi	extinct
Anasazisaurus_horneri	extinct
Anchiceratops_ornatus	extinct
Angulomastacator_daviesi	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Arrhinoceratops_brachyops	extinct
Atrociraptor_marshalli	extinct
Augustynolophus_morrisi	extinct
Austroraptor_cabazai	extinct
Avaceratops_lammersi	extinct
Bambiraptor_feinbergi	extinct
Bistahieversor_sealeyi	extinct
Bonapartesaurus_rionegrensis	extinct
Boreonykus_certekorum	extinct
Brachyceratops_montanensis	extinct
Brachylophosaurus_canadensis	extinct
Bravoceratops_polyphemus	extinct
Buitreraptor_gonzalezorum	extinct
Cedarpelta_bilbeyhallorum	extinct
Centrosaurus_apertus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Coahuilaceratops_magnacuerna	extinct
Coronosaurus_brinkmani	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Crittendenceratops_krzyzanowskii	extinct
Dakotaraptor_steini	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_novsp	extinct
Daspletosaurus_torosus	extinct
Deinonychus_antirrhopus	extinct
Diabloceratops_eatoni	extinct
Dineobellator_notohesperus	extinct
Dromaeosaurus_albertensis	extinct
Dynamoterror__dynastes	extinct
Dyoplosaurus_acutosquameus	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Einiosaurus_procurvicornis	extinct
Eotrachodon_orientalis	extinct
Eotriceratops_xerinsularis	extinct
Euoplocephalus_tutus	extinct
Geminiraptor_suarezarum	extinct
Glishades_ericksoni	extinct
Gorgosaurus_libratus	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosaurus_foulkii	extinct
Hesperonychus_elizabethae	extinct
Hesperornithoides_miessleri	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Indet_troodontid	extinct
Judiceratops_tigris	extinct
Koparion_douglassi	extinct
Kosmoceratops_richardsoni	extinct
Kritosaurus_navajovius	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latenivenatrix_mcmasterae	extinct
Latirhinus_uitstlani	extinct
Lythronax_argestes	extinct
Machairoceratops_cronusi	extinct
Magnapaulia_laticaudus	extinct
Maiasaura_peeblesorum	extinct
Medusaceratops_lokii	extinct
Mercuriceratops_gemini	extinct
Mojoceratops_perifania	extinct
Monoclonius_crassus	extinct
Naashoibitosaurus_ostromi	extinct
Nanuqsaurus_hoglundi	extinct
Nasutoceratops_titusi	extinct
Neuquenraptor_argentinus	extinct
Nodocephalosaurus_kirtlandensis	extinct
Ojoceratops_fowleri	extinct
Oohkotokia_horneri	extinct
Pachyrhinosaurus_canadensis	extinct
Pachyrhinosaurus_lakustai	extinct
Pachyrhinosaurus_perotorum	extinct
Pamparaptor_micros	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Pectinodon_bakkeri	extinct
Pentaceratops_sternbergii	extinct
Probrachylophosaurus__bergei	extinct
Prosaurolophus_maximus	extinct
Regaliceratops__peterhewsi	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Rubeosaurus_ovatus	extinct
Saurolophus_osborni	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_sullivani	extinct
Scolosaurus_cutleri	extinct
Scolosaurus_thronus	extinct
Secernosaurus_koerneri	extinct
Spiclypeus_shipporum	extinct
Spinops_sternbergorum	extinct
Stellasaurus_ancellae	extinct
Stenonychosaurus_inequalis	extinct
Styracosaurus_albertensis	extinct
Talos_sampsoni	extinct
Tatankaceratops_sacrisonorum	extinct
Teratophoneus__curriei	extinct
Thanatotheristes_degrootorum	extinct
Titanoceratops_ouranos	extinct
Torosaurus_latus	extinct
Torosaurus_utahensis	extinct
Triceratops_horridus	extinct
Triceratops_prorsus	extinct
Troodon_formosus	extinct
Tyrannosaurus_rex	extinct
Ugrunaaluk_kuukpikensis	extinct
Unenlagia_comahuensis	extinct
Unenlagia_paynemili	extinct
Utahceratops_gettyi	extinct
Utahraptor_ostrommaysi	extinct
Vagaceratops_irvinensis	extinct
Velafrons_coahuilensis	extinct
Wendiceratops_pinhornensis	extinct
Xenoceratops_foremostensis	extinct
Yehuecauhceratops_mudei	extinct
Yurgovuchia_doellingi	extinct
Ziapelta_sanjuanensis	extinct
Zuul_crurivastator	extinct
