Species	Status	MinT	MaxT
Bissektipelta _archibaldi	extinct	86.3	93.9
Chuanqilong_chaoyangensis	extinct	113	125
Crichtonpelta _benxiensis	extinct	89.8	100.5
Crichtonpelta _benxiensis	extinct	89.8	100.5
Crichtonpelta _benxiensis	extinct	89.8	100.5
Crichtonsaurus_bohlini	extinct	89.8	100.5
Crichtonsaurus_bohlini	extinct	89.8	100.5
Crichtonsaurus_bohlini	extinct	89.8	100.5
Gobisaurus_domoculus	extinct	89.8	100.5
Gobisaurus_domoculus	extinct	89.8	93.9
Jinyunpelta_sinensis	extinct	99.7	113
Liaoningosaurus_paradoxus	extinct	122.1	129.4
Liaoningosaurus_paradoxus	extinct	122.1	129.4
Liaoningosaurus_paradoxus	extinct	122.1	129.4
Minmi_paravertebra	extinct	113	129.4
Minmi_paravertebra	extinct	113	129.4
Minmi_paravertebra	extinct	113	129.4
Minmi_paravertebra	extinct	113	129.4
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_grangeri	extinct	71	75
Pinacosaurus_mephistocephalus	extinct	72.1	83.6
Saichania_chulsanensis	extinct	72.1	83.6
Saichania_chulsanensis	extinct	72.1	83.6
Saichania_chulsanensis	extinct	72.1	83.6
Saichania_chulsanensis	extinct	72.1	83.6
Saichania_chulsanensis	extinct	71	72.1
Saichania_chulsanensis	extinct	71	72.1
Saichania_chulsanensis	extinct	71	72.1
Saichania_chulsanensis	extinct	71	72.1
Shamosaurus_scutatus	extinct	100.5	107
Shamosaurus_scutatus	extinct	100.5	107
Shamosaurus_scutatus	extinct	100.5	107
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Talarurus_plicatospineus	extinct	83.6	97.8
Tarchia_kielanae	extinct	72.1	83.6
Tarchia_kielanae	extinct	72.1	83.6
Tarchia_kielanae	extinct	72.1	83.6
Tarchia_kielanae	extinct	72.1	83.6
Tarchia_kielanae	extinct	72.1	83.6
Tarchia_teresae	extinct	66	72.1
Tarchia_teresae	extinct	66	72.1
Tsagantegia_longicranialis	extinct	83.6	97.8
Tsagantegia_longicranialis	extinct	83.6	97.8
Zaraapelta_nomadis	extinct	72.1	83.6
Sinoceratops_zhuchengensis	extinct	72.1	73.5
Sinoceratops_zhuchengensis	extinct	72.1	73.5
Sinoceratops_zhuchengensis	extinct	72.1	73.5
Achillobator_giganticus	extinct	83.6	97.8
Adasaurus_mongoliensis	extinct	66	72.1
Adasaurus_mongoliensis	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Changyuraptor_yangi	extinct	122.1	129.7
Dromaeosauroides_bornholmensis	extinct	139.8	145
Graciliraptor_lujiatunensis	extinct	122.1	124.1
Halszkaraptor_escuilliei	extinct	72.1	83.6
Hulsanpes_perlei	extinct	72.1	83.6
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Linheraptor_exquisitus	extinct	72.1	83.6
Luanchuanraptor_henanensis	extinct	66	72.1
Mahakala_omnogovae	extinct	72.1	83.6
Microraptor_gui	extinct	113	125
Microraptor_gui	extinct	113	125
Microraptor_hanqingi	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Novgenus_novsp	extinct	83.6	97.8
Novgenus_novsp	extinct	83.6	97.8
Nuthetes_destructor	extinct	139	145.5
Nuthetes_destructor	extinct	139	145.5
Nuthetes_destructor	extinct	139	145.5
Nuthetes_destructor	extinct	139	145.5
Nuthetes_destructor	extinct	139	145.5
Nuthetes_destructor	extinct	139	145.5
Pyroraptor_olympius	extinct	70	76.5
Pyroraptor_olympius	extinct	70	76.5
Pyroraptor_olympius	extinct	70	76.5
Pyroraptor_olympius	extinct	70	76.5
Pyroraptor_olympius	extinct	70	76.5
Pyroraptor_olympius	extinct	70	76.5
Pyroraptor_olympius	extinct	70	76.5
Rahonavis_ostromi	extinct	66	72.1
Rahonavis_ostromi	extinct	66	72.1
Shanag_ashile	extinct	126	141
Sinornithosaurus_haoiana	extinct	122.1	129.7
Sinornithosaurus_millenii	extinct	122.1	129.7
Sinornithosaurus_millenii	extinct	122.1	129.7
Tianyuraptor_ostromi	extinct	125	129.4
Tsaagan_mangas	extinct	71	75
Variraptor_mechinorum	extinct	70	72.1
Variraptor_mechinorum	extinct	70	72.1
Variraptor_mechinorum	extinct	70	72.1
Variraptor_mechinorum	extinct	70	72.1
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_mongoliensis	extinct	71	75
Velociraptor_osmolskae	extinct	71	75
Velociraptor_osmolskae	extinct	71	75
Wulong_bohaiensis 	extinct	120.3	122.1
Zhenyuanlong_suni	extinct	113	130
Zhongjianosaurus_yangi	extinct	113	125
Adynomosaurus_arcanus	extinct	70	72.1
Amurosaurus_riabinini	extinct	66	72.1
