Species	Status
Achillobator_giganticus	extinct
Adasaurus_mongoliensis	extinct
Adynomosaurus_arcanus	extinct
Alioramus_altai	extinct
Alioramus_remotus	extinct
Almas_ukhaa	extinct
Amurosaurus_riabinini	extinct
Anchiornis_huxleyi	extinct
Aralosaurus_tuberiferus	extinct
Archaeornithoides_deinosauriscus	extinct
Arenysaurus_ardevoli	extinct
Aurornis_xui	extinct
Balaur_bondoc	extinct
Barsboldia_sicinskii	extinct
Bissektipelta__archibaldi	extinct
Blasisaurus_canudoi	extinct
Borogovia_gracilicrus	extinct
Byronosaurus_jaffei	extinct
Caihong_juji	extinct
Canardia_garonnensis	extinct
Changyuraptor_yangi	extinct
Charonosaurus_jiayinensis	extinct
Chuanqilong_chaoyangensis	extinct
Crichtonpelta__benxiensis	extinct
Crichtonsaurus_bohlini	extinct
Daliansaurus_liaoningensis	extinct
Dromaeosauroides_bornholmensis	extinct
EK_troodontid	extinct
Eosinopteryx_brevipenna	extinct
Gobisaurus_domoculus	extinct
Gobivenator_mongoliensis	extinct
Graciliraptor_lujiatunensis	extinct
Halszkaraptor_escuilliei	extinct
Hulsanpes_perlei	extinct
Itemirus_medullaris	extinct
Jaxartosaurus_aralensis	extinct
Jianianhualong_tengi	extinct
Jinfengopteryx_elegans	extinct
Jinfengopteryx_novsp	extinct
Jinyunpelta_sinensis	extinct
Kamuysaurus_japonicus	extinct
Kazaklambia_convincens	extinct
Kerberosaurus_manakini	extinct
Kundurosaurus_nagornyi	extinct
Liaoningosaurus_paradoxus	extinct
Liaoningvenator_curriei	extinct
Linheraptor_exquisitus	extinct
Linhevenator_tani	extinct
Luanchuanraptor_henanensis	extinct
Mahakala_omnogovae	extinct
Mei_long	extinct
Microraptor_gui	extinct
Microraptor_hanqingi	extinct
Microraptor_zhaoianus	extinct
Minmi_paravertebra	extinct
Nanningosaurus_dashiensis	extinct
Nipponosaurus_sachalinensis	extinct
Novgenus_novsp	extinct
Nuthetes_destructor	extinct
Olorotitan_arharensis	extinct
Orthomerus_dolloi	extinct
Pararhabdodon_isonensis	extinct
Philovenator_curriei	extinct
Pinacosaurus_grangeri	extinct
Pinacosaurus_mephistocephalus	extinct
Pyroraptor_olympius	extinct
Qianzhousaurus_sinensis	extinct
Rahonavis_ostromi	extinct
Sahaliyania_elunchunorum	extinct
Saichania_chulsanensis	extinct
Saurolophus_angustirostris	extinct
Saurornithoides_mongoliensis	extinct
Shamosaurus_scutatus	extinct
Shanag_ashile	extinct
Shantungosaurus_giganteus	extinct
Sinoceratops_zhuchengensis	extinct
Sinornithoides_youngi	extinct
Sinornithosaurus_haoiana	extinct
Sinornithosaurus_millenii	extinct
Sinovenator_changii	extinct
Sinusonasus_magnodens	extinct
Talarurus_plicatospineus	extinct
Tanius_laiyangensis	extinct
Tarbosaurus_bataar	extinct
Tarchia_kielanae	extinct
Tarchia_teresae	extinct
Tianyuraptor_ostromi	extinct
Tochisaurus_nemegtensis	extinct
Tsaagan_mangas	extinct
Tsagantegia_longicranialis	extinct
Tsintaosaurus_spinorhinus	extinct
Urbacodon_itemirensis	extinct
Variraptor_mechinorum	extinct
Velociraptor_mongoliensis	extinct
Velociraptor_osmolskae	extinct
Wulagasaurus_dongi	extinct
Wulong_bohaiensis	extinct
Xiaotingia_zhengi	extinct
Xixiasaurus_henanensis	extinct
Zanabazar_junior	extinct
Zaraapelta_nomadis	extinct
Zhanghenglong_yangchengensis	extinct
Zhenyuanlong_suni	extinct
Zhongjianosaurus_yangi	extinct
Zhuchengtyrannus_magnus	extinct
