Species	Status
Acheroraptor_temertyorum	extinct
Achillobator_giganticus	extinct
Adasaurus_mongoliensis	extinct
Albertavenator_curriei	extinct
Albertosaurus_sarcophagus	extinct
Alioramus_altai	extinct
Alioramus_remotus	extinct
Almas_ukhaa	extinct
Anchiornis_huxleyi	extinct
Archaeornithoides_deinosauriscus	extinct
Atrociraptor_marshalli	extinct
Aurornis_xui	extinct
Austroraptor_cabazai	extinct
Balaur_bondoc	extinct
Bambiraptor_feinbergi	extinct
Bistahieversor_sealeyi	extinct
Boreonykus_certekorum	extinct
Borogovia_gracilicrus	extinct
Buitreraptor_gonzalezorum	extinct
Byronosaurus_jaffei	extinct
Caihong_juji	extinct
Changyuraptor_yangi	extinct
Dakotaraptor_steini	extinct
Daliansaurus_liaoningensis	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_novsp	extinct
Daspletosaurus_torosus	extinct
Deinonychus_antirrhopus	extinct
Dineobellator_notohesperus	extinct
Dromaeosauroides_bornholmensis	extinct
Dromaeosaurus_albertensis	extinct
Dynamoterror__dynastes	extinct
EK_troodontid	extinct
Eosinopteryx_brevipenna	extinct
Geminiraptor_suarezarum	extinct
Gobivenator_mongoliensis	extinct
Gorgosaurus_libratus	extinct
Graciliraptor_lujiatunensis	extinct
Halszkaraptor_escuilliei	extinct
Hesperonychus_elizabethae	extinct
Hesperornithoides_miessleri	extinct
Hulsanpes_perlei	extinct
Indet_troodontid	extinct
Itemirus_medullaris	extinct
Jianianhualong_tengi	extinct
Jinfengopteryx_elegans	extinct
Jinfengopteryx_novsp	extinct
Koparion_douglassi	extinct
Latenivenatrix_mcmasterae	extinct
Liaoningvenator_curriei	extinct
Linheraptor_exquisitus	extinct
Linhevenator_tani	extinct
Luanchuanraptor_henanensis	extinct
Lythronax_argestes	extinct
Mahakala_omnogovae	extinct
Mei_long	extinct
Microraptor_gui	extinct
Microraptor_hanqingi	extinct
Microraptor_zhaoianus	extinct
Nanuqsaurus_hoglundi	extinct
Neuquenraptor_argentinus	extinct
Novgenus_novsp	extinct
Nuthetes_destructor	extinct
Pamparaptor_micros	extinct
Pectinodon_bakkeri	extinct
Philovenator_curriei	extinct
Pyroraptor_olympius	extinct
Qianzhousaurus_sinensis	extinct
Rahonavis_ostromi	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Saurornithoides_mongoliensis	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_sullivani	extinct
Shanag_ashile	extinct
Sinornithoides_youngi	extinct
Sinornithosaurus_haoiana	extinct
Sinornithosaurus_millenii	extinct
Sinovenator_changii	extinct
Sinusonasus_magnodens	extinct
Stenonychosaurus_inequalis	extinct
Talos_sampsoni	extinct
Tarbosaurus_bataar	extinct
Teratophoneus__curriei	extinct
Thanatotheristes_degrootorum	extinct
Tianyuraptor_ostromi	extinct
Tochisaurus_nemegtensis	extinct
Troodon_formosus	extinct
Tsaagan_mangas	extinct
Tyrannosaurus_rex	extinct
Unenlagia_comahuensis	extinct
Unenlagia_paynemili	extinct
Urbacodon_itemirensis	extinct
Utahraptor_ostrommaysi	extinct
Variraptor_mechinorum	extinct
Velociraptor_mongoliensis	extinct
Velociraptor_osmolskae	extinct
Wulong_bohaiensis	extinct
Xiaotingia_zhengi	extinct
Xixiasaurus_henanensis	extinct
Yurgovuchia_doellingi	extinct
Zanabazar_junior	extinct
Zhenyuanlong_suni	extinct
Zhongjianosaurus_yangi	extinct
Zhuchengtyrannus_magnus	extinct
