Species	Status
Achelousaurus_horneri	extinct
Acristavus_gagslarsoni	extinct
Adelolophus_hutchisoni	extinct
Adynomosaurus_arcanus	extinct
Agujaceratops_mariscalensis	extinct
Agujaceratops_mavericus	extinct
Ahshislepelta_minor	extinct
Akainacephalus_johnsoni	extinct
Albertaceratops_nesmoi	extinct
Aletopelta__coombsi	extinct
Amurosaurus_riabinini	extinct
Anasazisaurus_horneri	extinct
Anchiceratops_ornatus	extinct
Angulomastacator_daviesi	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Aralosaurus_tuberiferus	extinct
Arenysaurus_ardevoli	extinct
Arrhinoceratops_brachyops	extinct
Augustynolophus_morrisi	extinct
Avaceratops_lammersi	extinct
Barsboldia_sicinskii	extinct
Bissektipelta__archibaldi	extinct
Blasisaurus_canudoi	extinct
Bonapartesaurus_rionegrensis	extinct
Brachyceratops_montanensis	extinct
Brachylophosaurus_canadensis	extinct
Bravoceratops_polyphemus	extinct
Canardia_garonnensis	extinct
Cedarpelta_bilbeyhallorum	extinct
Centrosaurus_apertus	extinct
Charonosaurus_jiayinensis	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Chuanqilong_chaoyangensis	extinct
Coahuilaceratops_magnacuerna	extinct
Coronosaurus_brinkmani	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Crichtonpelta__benxiensis	extinct
Crichtonsaurus_bohlini	extinct
Crittendenceratops_krzyzanowskii	extinct
Diabloceratops_eatoni	extinct
Dyoplosaurus_acutosquameus	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Einiosaurus_procurvicornis	extinct
Eotrachodon_orientalis	extinct
Eotriceratops_xerinsularis	extinct
Euoplocephalus_tutus	extinct
Glishades_ericksoni	extinct
Gobisaurus_domoculus	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosaurus_foulkii	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Jaxartosaurus_aralensis	extinct
Jinyunpelta_sinensis	extinct
Judiceratops_tigris	extinct
Kamuysaurus_japonicus	extinct
Kazaklambia_convincens	extinct
Kerberosaurus_manakini	extinct
Kosmoceratops_richardsoni	extinct
Kritosaurus_navajovius	extinct
Kundurosaurus_nagornyi	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latirhinus_uitstlani	extinct
Liaoningosaurus_paradoxus	extinct
Machairoceratops_cronusi	extinct
Magnapaulia_laticaudus	extinct
Maiasaura_peeblesorum	extinct
Medusaceratops_lokii	extinct
Mercuriceratops_gemini	extinct
Minmi_paravertebra	extinct
Mojoceratops_perifania	extinct
Monoclonius_crassus	extinct
Naashoibitosaurus_ostromi	extinct
Nanningosaurus_dashiensis	extinct
Nasutoceratops_titusi	extinct
Nipponosaurus_sachalinensis	extinct
Nodocephalosaurus_kirtlandensis	extinct
Ojoceratops_fowleri	extinct
Olorotitan_arharensis	extinct
Oohkotokia_horneri	extinct
Orthomerus_dolloi	extinct
Pachyrhinosaurus_canadensis	extinct
Pachyrhinosaurus_lakustai	extinct
Pachyrhinosaurus_perotorum	extinct
Pararhabdodon_isonensis	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Pentaceratops_sternbergii	extinct
Pinacosaurus_grangeri	extinct
Pinacosaurus_mephistocephalus	extinct
Probrachylophosaurus__bergei	extinct
Prosaurolophus_maximus	extinct
Regaliceratops__peterhewsi	extinct
Rubeosaurus_ovatus	extinct
Sahaliyania_elunchunorum	extinct
Saichania_chulsanensis	extinct
Saurolophus_angustirostris	extinct
Saurolophus_osborni	extinct
Scolosaurus_cutleri	extinct
Scolosaurus_thronus	extinct
Secernosaurus_koerneri	extinct
Shamosaurus_scutatus	extinct
Shantungosaurus_giganteus	extinct
Sinoceratops_zhuchengensis	extinct
Spiclypeus_shipporum	extinct
Spinops_sternbergorum	extinct
Stellasaurus_ancellae	extinct
Styracosaurus_albertensis	extinct
Talarurus_plicatospineus	extinct
Tanius_laiyangensis	extinct
Tarchia_kielanae	extinct
Tarchia_teresae	extinct
Tatankaceratops_sacrisonorum	extinct
Titanoceratops_ouranos	extinct
Torosaurus_latus	extinct
Torosaurus_utahensis	extinct
Triceratops_horridus	extinct
Triceratops_prorsus	extinct
Tsagantegia_longicranialis	extinct
Tsintaosaurus_spinorhinus	extinct
Ugrunaaluk_kuukpikensis	extinct
Utahceratops_gettyi	extinct
Vagaceratops_irvinensis	extinct
Velafrons_coahuilensis	extinct
Wendiceratops_pinhornensis	extinct
Wulagasaurus_dongi	extinct
Xenoceratops_foremostensis	extinct
Yehuecauhceratops_mudei	extinct
Zaraapelta_nomadis	extinct
Zhanghenglong_yangchengensis	extinct
Ziapelta_sanjuanensis	extinct
Zuul_crurivastator	extinct
