Species	Status	MinT	MaxT
Ahshislepelta_minor	extinct	72.1	83.6
Akainacephalus_johnsoni	extinct	76.2	76.3
Aletopelta _coombsi	extinct	72.1	83.6
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Anodontosaurus_inceptus	extinct	75.8	76.9
Anodontosaurus_inceptus	extinct	75.8	76.9
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Dyoplosaurus_acutosquameus	extinct	72.1	83.6
Dyoplosaurus_acutosquameus	extinct	72.1	83.6
Dyoplosaurus_acutosquameus	extinct	72.1	83.6
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	72.1	83.6
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	72.1	83.6
Euoplocephalus_tutus	extinct	72.1	83.6
Euoplocephalus_tutus	extinct	72.1	83.6
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	74.9	83.5
Euoplocephalus_tutus	extinct	74.9	83.5
Euoplocephalus_tutus	extinct	74.9	83.5
Euoplocephalus_tutus	extinct	74.9	83.5
Euoplocephalus_tutus	extinct	74.9	83.5
Nodocephalosaurus_kirtlandensis	extinct	72.1	75
Nodocephalosaurus_kirtlandensis	extinct	72.1	75
Nodocephalosaurus_kirtlandensis	extinct	72.1	75
Nodocephalosaurus_kirtlandensis	extinct	72.1	75
Nodocephalosaurus_kirtlandensis	extinct	72.1	75
Oohkotokia_horneri	extinct	75	83.6
Oohkotokia_horneri	extinct	75	83.6
Oohkotokia_horneri	extinct	75	83.6
Oohkotokia_horneri	extinct	75	83.6
Oohkotokia_horneri	extinct	75.8	77.5
Oohkotokia_horneri	extinct	75.8	77.5
Scolosaurus_cutleri	extinct	75.8	77.5
Scolosaurus_cutleri	extinct	75.8	77.5
Scolosaurus_cutleri	extinct	75.8	77.5
Scolosaurus_cutleri	extinct	75.8	77.5
Scolosaurus_cutleri	extinct	72.1	83.6
Scolosaurus_thronus	extinct	72.1	83.6
Scolosaurus_thronus	extinct	72.1	83.6
Scolosaurus_thronus	extinct	72.1	83.6
Ziapelta_sanjuanensis	extinct	72.98	77.66
Ziapelta_sanjuanensis	extinct	72.98	77.66
Zuul_crurivastator 	extinct	75.2	76.2
