Species	Status
Ahshislepelta_minor	extinct
Akainacephalus_johnsoni	extinct
Aletopelta__coombsi	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Bissektipelta__archibaldi	extinct
Cedarpelta_bilbeyhallorum	extinct
Chuanqilong_chaoyangensis	extinct
Crichtonpelta__benxiensis	extinct
Crichtonsaurus_bohlini	extinct
Dyoplosaurus_acutosquameus	extinct
Euoplocephalus_tutus	extinct
Gobisaurus_domoculus	extinct
Jinyunpelta_sinensis	extinct
Liaoningosaurus_paradoxus	extinct
Minmi_paravertebra	extinct
Nodocephalosaurus_kirtlandensis	extinct
Oohkotokia_horneri	extinct
Pinacosaurus_grangeri	extinct
Pinacosaurus_mephistocephalus	extinct
Saichania_chulsanensis	extinct
Scolosaurus_cutleri	extinct
Scolosaurus_thronus	extinct
Shamosaurus_scutatus	extinct
Talarurus_plicatospineus	extinct
Tarchia_kielanae	extinct
Tarchia_teresae	extinct
Tsagantegia_longicranialis	extinct
Zaraapelta_nomadis	extinct
Ziapelta_sanjuanensis	extinct
Zuul_crurivastator	extinct
