Species	Status	MinT	MaxT
Achelousaurus_horneri	extinct	72.1	83.6
Agujaceratops_mariscalensis	extinct	72.6	80.5
Agujaceratops_mariscalensis	extinct	72.6	80.5
Agujaceratops_mariscalensis	extinct	72.6	80.5
Agujaceratops_mariscalensis	extinct	72.6	80.5
Agujaceratops_mariscalensis	extinct	72.6	80.5
Agujaceratops_mariscalensis	extinct	72.6	80.5
Agujaceratops_mavericus	extinct	72.6	80.5
Agujaceratops_mavericus	extinct	72.6	80.5
Albertaceratops_nesmoi	extinct	72.1	83.6
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Anchiceratops_ornatus	extinct	69.5	71.5
Arrhinoceratops_brachyops	extinct	70.6	71.5
Arrhinoceratops_brachyops	extinct	70.6	71.5
Arrhinoceratops_brachyops	extinct	70.6	71.5
Arrhinoceratops_brachyops	extinct	70.6	71.5
Arrhinoceratops_brachyops	extinct	70.6	71.5
Avaceratops_lammersi	extinct	74.9	79
Avaceratops_lammersi	extinct	74.9	79
Brachyceratops_montanensis	extinct	74.9	83.6
Brachyceratops_montanensis	extinct	74.9	83.6
Brachyceratops_montanensis	extinct	74.9	83.6
Brachyceratops_montanensis	extinct	74.9	83.6
Bravoceratops_polyphemus	extinct	66.5	70
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
Centrosaurus_apertus	extinct	75.8	77
