Species	Status
Achelousaurus_horneri	extinct
Agujaceratops_mariscalensis	extinct
Agujaceratops_mavericus	extinct
Albertaceratops_nesmoi	extinct
Anchiceratops_ornatus	extinct
Arrhinoceratops_brachyops	extinct
Avaceratops_lammersi	extinct
Brachyceratops_montanensis	extinct
Bravoceratops_polyphemus	extinct
Centrosaurus_apertus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Coahuilaceratops_magnacuerna	extinct
Coronosaurus_brinkmani	extinct
Crittendenceratops_krzyzanowskii	extinct
Diabloceratops_eatoni	extinct
Einiosaurus_procurvicornis	extinct
Eotriceratops_xerinsularis	extinct
Judiceratops_tigris	extinct
Kosmoceratops_richardsoni	extinct
Machairoceratops_cronusi	extinct
Medusaceratops_lokii	extinct
Mercuriceratops_gemini	extinct
Mojoceratops_perifania	extinct
Monoclonius_crassus	extinct
Nasutoceratops_titusi	extinct
Ojoceratops_fowleri	extinct
Pachyrhinosaurus_canadensis	extinct
Pachyrhinosaurus_lakustai	extinct
Pachyrhinosaurus_perotorum	extinct
Pentaceratops_sternbergii	extinct
Regaliceratops__peterhewsi	extinct
Rubeosaurus_ovatus	extinct
Spiclypeus_shipporum	extinct
Spinops_sternbergorum	extinct
Stellasaurus_ancellae	extinct
Styracosaurus_albertensis	extinct
Tatankaceratops_sacrisonorum	extinct
Titanoceratops_ouranos	extinct
Torosaurus_latus	extinct
Torosaurus_utahensis	extinct
Triceratops_horridus	extinct
Triceratops_prorsus	extinct
Utahceratops_gettyi	extinct
Vagaceratops_irvinensis	extinct
Wendiceratops_pinhornensis	extinct
Xenoceratops_foremostensis	extinct
Yehuecauhceratops_mudei	extinct
