Species	Status	MinT	MaxT
Acheroraptor_temertyorum	extinct	66	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Austroraptor_cabazai	extinct	69	79
Austroraptor_cabazai	extinct	69	79
Bambiraptor_feinbergi	extinct	74.9	83.5
Bambiraptor_feinbergi	extinct	74.9	83.5
Boreonykus_certekorum	extinct	73.3	83.6
Boreonykus_certekorum	extinct	73.3	83.6
Boreonykus_certekorum	extinct	73.3	83.6
Boreonykus_certekorum	extinct	73.3	83.6
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Dakotaraptor_steini	extinct	66	66.8
Dakotaraptor_steini	extinct	66	66.8
Dakotaraptor_steini	extinct	66	66.8
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Dineobellator_notohesperus	extinct	66.5	69
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Hesperonychus_elizabethae	extinct	75.8	76.9
Hesperonychus_elizabethae	extinct	75.8	76.9
Hesperonychus_elizabethae	extinct	75.8	76.9
Hesperonychus_elizabethae	extinct	75.8	76.9
Neuquenraptor_argentinus	extinct	88	91
Neuquenraptor_argentinus	extinct	88	91
Pamparaptor_micros	extinct	88	91
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	76.5	77.5
Richardoestesia_gilmorei	extinct	76.5	77.5
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	75.8	76.9
Richardoestesia_gilmorei	extinct	76.5	77.5
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	76.5	77.5
Richardoestesia_isosceles	extinct	76.5	77.5
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	76.5	77.5
Richardoestesia_isosceles	extinct	76.5	77.5
Richardoestesia_isosceles	extinct	76.5	77.5
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	76.5	77.5
Richardoestesia_isosceles	extinct	75.8	76.9
Richardoestesia_isosceles	extinct	83.5	84.5
