Species	Status
Acheroraptor_temertyorum	extinct
Atrociraptor_marshalli	extinct
Austroraptor_cabazai	extinct
Bambiraptor_feinbergi	extinct
Boreonykus_certekorum	extinct
Buitreraptor_gonzalezorum	extinct
Dakotaraptor_steini	extinct
Deinonychus_antirrhopus	extinct
Dineobellator_notohesperus	extinct
Dromaeosaurus_albertensis	extinct
Hesperonychus_elizabethae	extinct
Neuquenraptor_argentinus	extinct
Pamparaptor_micros	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_sullivani	extinct
Unenlagia_comahuensis	extinct
Unenlagia_paynemili	extinct
Utahraptor_ostrommaysi	extinct
Yurgovuchia_doellingi	extinct
