Species	Stage	MinT	MaxT
Acristavus_gagslarsoni	extinct	78	79.5
Acristavus_gagslarsoni	extinct	78	79.5
Adelolophus_hutchisoni	extinct	72.1	83.6
Adynomosaurus_arcanus	extinct	70	72.1
Amurosaurus_riabinini	extinct	66	72.1
Amurosaurus_riabinini	extinct	66	72.1
Amurosaurus_riabinini	extinct	66	72.1
Amurosaurus_riabinini	extinct	66	72.1
Amurosaurus_riabinini	extinct	66	72.1
Amurosaurus_riabinini	extinct	66	72.1
Anasazisaurus_horneri	extinct	73	75
Angulomastacator_daviesi	extinct	72.1	80.5
Aralosaurus_tuberiferus	extinct	72.1	86.3
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Arenysaurus_ardevoli	extinct	66	67.5
Augustynolophus_morrisi	extinct	66	72.1
Augustynolophus_morrisi	extinct	66	72.1
Barsboldia_sicinskii	extinct	66	83.6
Blasisaurus_canudoi	extinct	66	72.1
Blasisaurus_canudoi	extinct	66	72.1
Blasisaurus_canudoi	extinct	66	72.1
Blasisaurus_canudoi	extinct	66	72.1
Blasisaurus_canudoi	extinct	66	72.1
Bonapartesaurus_rionegrensis	extinct	69	79
Bonapartesaurus_rionegrensis	extinct	69	79
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Canardia_garonnensis	extinct	66	67.5
Canardia_garonnensis	extinct	66	67.5
Canardia_garonnensis	extinct	66	67.5
Canardia_garonnensis	extinct	66	67.5
Canardia_garonnensis	extinct	66	67.5
Canardia_garonnensis	extinct	66	67.5
Canardia_garonnensis	extinct	66	67.5
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
Charonosaurus_jiayinensis	extinct	66	72.1
