Species	Stage	MinT	MaxT
Acristavus_gagslarsoni	extinct	78	79.5
Acristavus_gagslarsoni	extinct	78	79.5
Adelolophus_hutchisoni	extinct	72.1	83.6
Anasazisaurus_horneri	extinct	73	75
Angulomastacator_daviesi	extinct	72.1	80.5
Augustynolophus_morrisi	extinct	66	72.1
Augustynolophus_morrisi	extinct	66	72.1
Bonapartesaurus_rionegrensis	extinct	69	79
Bonapartesaurus_rionegrensis	extinct	69	79
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Brachylophosaurus_canadensis	extinct	72.1	83.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_casuarius	extinct	75.9	76.6
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Corythosaurus_intermedius	extinct	75	75.8
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
Edmontosaurus_annectens	extinct	66	68
