Species	Status
Acristavus_gagslarsoni	extinct
Adelolophus_hutchisoni	extinct
Anasazisaurus_horneri	extinct
Angulomastacator_daviesi	extinct
Augustynolophus_morrisi	extinct
Bonapartesaurus_rionegrensis	extinct
Brachylophosaurus_canadensis	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Eotrachodon_orientalis	extinct
Glishades_ericksoni	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosaurus_foulkii	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Kritosaurus_navajovius	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latirhinus_uitstlani	extinct
Magnapaulia_laticaudus	extinct
Maiasaura_peeblesorum	extinct
Naashoibitosaurus_ostromi	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Probrachylophosaurus__bergei	extinct
Prosaurolophus_maximus	extinct
Saurolophus_osborni	extinct
Secernosaurus_koerneri	extinct
Ugrunaaluk_kuukpikensis	extinct
Velafrons_coahuilensis	extinct
