Species	Status
Acristavus_gagslarsoni	extinct
Adelolophus_hutchisoni	extinct
Adynomosaurus_arcanus	extinct
Amurosaurus_riabinini	extinct
Anasazisaurus_horneri	extinct
Angulomastacator_daviesi	extinct
Aralosaurus_tuberiferus	extinct
Arenysaurus_ardevoli	extinct
Augustynolophus_morrisi	extinct
Barsboldia_sicinskii	extinct
Blasisaurus_canudoi	extinct
Bonapartesaurus_rionegrensis	extinct
Brachylophosaurus_canadensis	extinct
Canardia_garonnensis	extinct
Charonosaurus_jiayinensis	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Eotrachodon_orientalis	extinct
Glishades_ericksoni	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosaurus_foulkii	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Jaxartosaurus_aralensis	extinct
Kamuysaurus_japonicus	extinct
Kazaklambia_convincens	extinct
Kerberosaurus_manakini	extinct
Kritosaurus_navajovius	extinct
Kundurosaurus_nagornyi	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latirhinus_uitstlani	extinct
Magnapaulia_laticaudus	extinct
Maiasaura_peeblesorum	extinct
Naashoibitosaurus_ostromi	extinct
Nanningosaurus_dashiensis	extinct
Nipponosaurus_sachalinensis	extinct
Olorotitan_arharensis	extinct
Orthomerus_dolloi	extinct
Pararhabdodon_isonensis	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Probrachylophosaurus__bergei	extinct
Prosaurolophus_maximus	extinct
Sahaliyania_elunchunorum	extinct
Saurolophus_angustirostris	extinct
Saurolophus_osborni	extinct
Secernosaurus_koerneri	extinct
Shantungosaurus_giganteus	extinct
Tanius_laiyangensis	extinct
Tsintaosaurus_spinorhinus	extinct
Ugrunaaluk_kuukpikensis	extinct
Velafrons_coahuilensis	extinct
Wulagasaurus_dongi	extinct
Zhanghenglong_yangchengensis	extinct
