Species	Status	Min age	Max age
Albertavenator_curriei	extinct	71	72.1
Albertavenator_curriei	extinct	71	72.1
Geminiraptor_suarezarum	extinct	98	127
Hesperornithoides_miessleri	extinct	146.8	156.3
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	76.5	77.5
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	79
Indet_troodontid	extinct	75.8	77.5
Indet_troodontid	extinct	76.5	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	77.5
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	76.5	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	77.5
Indet_troodontid	extinct	74	76.5
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	72.1	74
Koparion_douglassi	extinct	146.8	156.3
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Troodon_formosus	extinct	75.8	76.9
Troodon_formosus	extinct	75.8	79
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	76.9
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	76.9
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	83.5
Troodon_formosus	extinct	74.9	83.5
Troodon_formosus	extinct	74.9	83.5
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	76.9
Troodon_formosus	extinct	66	72.1
Troodon_formosus	extinct	66	72.1
Troodon_formosus	extinct	66	72.1
Troodon_formosus	extinct	66	72.1
Troodon_formosus	extinct	66	72.1
Troodon_formosus	extinct	66	72.1
