Species	Status	MinT	MaxT
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Albertosaurus_sarcophagus	extinct	68	74
Alioramus_altai	extinct	68	72.1
Alioramus_remotus	extinct	68	72.1
Bistahieversor_sealeyi	extinct	73	75
Bistahieversor_sealeyi	extinct	73	75
Bistahieversor_sealeyi	extinct	73	75
Bistahieversor_sealeyi	extinct	73	75
Daspletosaurus_horneri	extinct	74.4	75.1
Daspletosaurus_horneri	extinct	74.4	75.1
Daspletosaurus_horneri	extinct	74.4	75.1
Daspletosaurus_horneri	extinct	74.4	75.1
Daspletosaurus_horneri	extinct	74.4	75.1
Daspletosaurus_horneri	extinct	74.4	75.1
Daspletosaurus_horneri	extinct	74.4	75.1
Daspletosaurus_novsp	extinct	75.8	76.9
Daspletosaurus_novsp	extinct	75.8	76.9
Daspletosaurus_novsp	extinct	75.8	76.9
Daspletosaurus_novsp	extinct	75.8	76.9
Daspletosaurus_novsp	extinct	75.8	76.9
Daspletosaurus_novsp	extinct	75.8	76.9
Daspletosaurus_novsp	extinct	75.8	76.9
Daspletosaurus_torosus	extinct	75.2	76.7
Daspletosaurus_torosus	extinct	75.2	76.7
Daspletosaurus_torosus	extinct	75.2	76.7
Daspletosaurus_torosus	extinct	75.2	76.7
Dynamoterror _dynastes	extinct	78	78.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Gorgosaurus_libratus	extinct	74.8	76.5
Lythronax_argestes	extinct	79.9	80.6
Nanuqsaurus_hoglundi	extinct	68	71
Qianzhousaurus_sinensis	extinct	66.7	72.1
Qianzhousaurus_sinensis	extinct	66.7	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
Tarbosaurus_bataar	extinct	68	72.1
