collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
11582	PaleoDB	"E. Fara"		Saichania		chulsanensis					"GI SPS 100/151"	59136	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
11899	PaleoDB	"M. Carrano"		Anodontosaurus		lambei		Ankylosauria		indet.	"NMC 8530"	54104	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
11931	PaleoDB	"M. Carrano"	"n. gen."	Ankylosaurus	"n. sp."	magniventris					"AMNH 5895"	4210	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14437	Fossilworks	"J. Alroy"		Euoplocephalus		sp.						25474	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	80.7	"Judith River"
14470	Fossilworks	"J. Alroy"		Euoplocephalus		sp.						2602	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.8	76.6	"Judith River"
14492	Fossilworks	"J. Alroy"		Euoplocephalus		sp.						2602	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.5	72.5	"Judith River"
14514	Fossilworks	"J. Alroy"		Ankylosaurus	cf.	magniventris					"AMNH 5895"	1129	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14534	Fossilworks	"J. Alroy"		Ankylosaurus		magniventris					"AMNH 5895"	960	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14541	Fossilworks	"J. Alroy"		Ankylosaurus		magniventris		Ankylosaurus		sp.	"AMNH 5895"	1419	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14544	Fossilworks	"J. Alroy"		Ankylosaurus		magniventris		Ankylosaurus		sp.	"AMNH 5895"	1419	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14585	Fossilworks	"J. Alroy"		Ankylosaurus		magniventris					"AMNH 5895"	1239	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
22694	ETE	"A. Behrensmeyer"		Euoplocephalus		sp.						5697	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	72.7	72.5	"Two Medicine"
28243	Fossilworks	"J. Alroy"		Saichania		chulsanensis		Ankylosauridae		indet.	"GI SPS 100/151"	7761	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
32362	PaleoDB	"M. Carrano"	"n. gen."	Shamosaurus	"n. sp."	scutatus		Ankylosauria		indet.	"PIN 3779/2"	33967	Mongolia	Dornogov	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Dzunbain
35379	PaleoDB	"M. Carrano"		Euoplocephalus		sp.						9558	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
