occurrence.genus_name	occurrence.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
Achelousaurus	horneri	MOR 485	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Two Medicine
Achelousaurus	horneri	MOR 485	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Two Medicine
Agathaumas	sylvestris	AMNH 4000	United States	Wyoming	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Lance
Agujaceratops	mariscalensis	UTEP P.37.3.086	United States	Texas	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Aguja
Agujaceratops	mariscalensis	UTEP P.37.3.086	United States	Texas	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Aguja
Agujaceratops	mariscalensis	UTEP P.37.3.086	United States	Texas	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Aguja
Agujaceratops	mariscalensis	UTEP P.37.3.086	United States	Texas	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Aguja
Agujaceratops	mariscalensis	UTEP P.37.3.086	United States	Texas	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Aguja
Agujaceratops	mariscalensis	UTEP P.37.3.086	United States	Texas	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Aguja
Agujaceratops	sp.		United States	Texas	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Aguja
Albertaceratops	nesmoi	TMP 2001.26.1	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Albertaceratops	nesmoi	TMP 2001.26.1	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Anchiceratops	brachyops		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Horseshoe Canyon
Anchiceratops	ornatus	NMC 8535	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Anchiceratops	ornatus	AMNH 5251	Canada	Alberta	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Horseshoe Canyon
Anchiceratops	ornatus	AMNH 5251	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Anchiceratops	ornatus	AMNH 5251	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Anchiceratops	ornatus	AMNH 5251	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Anchiceratops	ornatus	AMNH 5251	Canada	Alberta	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Horseshoe Canyon
Anchiceratops	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous		84.9	66.043	St. Mary River
Arrhinoceratops	brachyops	ROM 796	Canada	Alberta	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Horseshoe Canyon
Arrhinoceratops	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Horseshoe Canyon
Avaceratops	lammersi	ANSP 15800	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	80.9	80.7	Judith River
Bison	alticornis	USNM 4739	United States	Colorado	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Denver
Brachyceratops	montanensis	USNM 7951	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Two Medicine
Brachyceratops	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Santonian	85.8	84.9	Milk River
Brachyceratops	sp.		United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	72.7	72.5	Two Medicine
Brachyceratops	sp.		United States	Texas	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Aguja
Bravoceratops	polyphemus	TMM 46015-1	United States	Texas	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Javelina
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	AMNH 5427	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	82.1	81.9	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	AMNH 5239	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Centrosaurus	apertus	NMC 971	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
