collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
11582	PaleoDB	"E. Fara"		Velociraptor		sp.						Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
13334	PaleoDB	"M. Carrano"		Balaur		bondoc		Theropoda		indet.	"EME PV.313"	Romania	Hunedoara	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Densus-Ciula
13937	PaleoDB	"W. Clyde"	"n. gen."	Tianyuraptor	"n. sp."	ostromi					STM1-3	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Barremian	130.000	125.450	Yixian
14374	Fossilworks	"J. Alroy"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Oklahoma	Cretaceous	"Early/Lower Cretaceous"		122.460	109.000	Antlers
14379	Fossilworks	"J. Alroy"		Deinonychus		sp.						"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
14392	Fossilworks	"J. Alroy"	cf.	Deinonychus		sp.						"United States"	Oklahoma	Cretaceous	"Early/Lower Cretaceous"		122.460	109.000	Antlers
14392	Fossilworks	"J. Alroy"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Oklahoma	Cretaceous	"Early/Lower Cretaceous"		122.460	109.000	Antlers
14396	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Utah	Cretaceous			98.8	98.0	"Cedar Mountain"
14403	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Utah	Cretaceous			98.8	98.0	"Cedar Mountain"
14434	Fossilworks	"J. Alroy"		Dromaeosaurus		albertensis					"AMNH 5356"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14434	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14434	Fossilworks	"J. Alroy"		Richardoestesia		gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14437	Fossilworks	"J. Alroy"		Richardoestesia		gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	80.7	"Judith River"
14437	Fossilworks	"J. Alroy"		Dromaeosaurus		albertensis					"AMNH 5356"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	80.7	"Judith River"
14437	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	80.7	"Judith River"
14457	Fossilworks	"J. Alroy"		Richardoestesia		gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14457	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni					"RTMP 74.10.5"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14458	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Campanian	75.5	75.3	Mesaverde
14458	Fossilworks	"J. Alroy"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Campanian	75.5	75.3	Mesaverde
14462	Fossilworks	"J. Alroy"		Dromaeosaurus		albertensis		Dromaeosaurus		sp.	"AMNH 5356"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14462	Fossilworks	"J. Alroy"		Saurornitholestes		langstoni		Saurornitholestes		sp.	"RTMP 74.10.5"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14462	Fossilworks	"J. Alroy"		Richardoestesia		gilmorei		Richardoestesia		sp.	"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14463	Fossilworks	"J. Alroy"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	74.7	74.5	"Dinosaur Park"
14463	Fossilworks	"J. Alroy"		Hesperonychus		elizabethae					"UALVP 48778"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	74.7	74.5	"Dinosaur Park"
14465	Fossilworks	"J. Alroy"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Mesaverde
14482	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.0	77.8	"Judith River"
14488	Fossilworks	"J. Alroy"		Saurornitholestes	cf.	langstoni					"RTMP 74.10.5"	"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Aguja
14488	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Aguja
14488	Fossilworks	"J. Alroy"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Aguja
