collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
11899	PaleoDB	"M. Carrano"		Saurolophus		osborni					"AMNH 5220"	54104	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
11919	PaleoDB	"M. Carrano"		Gryposaurus	cf.	notabilis		Kritosaurus		notabilis	"NMC 2278"	4206	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.2	84.0	Oldman
11931	PaleoDB	"M. Carrano"		Edmontosaurus		sp.		Anatosaurus		sp.		4210	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
13142	PaleoDB	"E. Fara"		Edmontosaurus		sp.		Anatosaurus		sp.		4377	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	69.2	"Hell Creek"
13282	PaleoDB	"M. Carrano"		Maiasaura		peeblesorum					"PU 22405"	4406	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
13308	PaleoDB	"J. Hunter"	"n. gen."	Tridigitichnus	"n. sp."	inopinatus						6051	Argentina	"Río Negro"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	
14437	Fossilworks	"J. Alroy"	?	Gryposaurus		sp.		Hadrosaurinae		indet.		25474	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	80.7	"Judith River"
14446	Fossilworks	"J. Alroy"		Trachodon		altidens		Procheneosaurus		altidens	"NMC 1092"	3008	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.0	75.7	"Judith River"
14446	Fossilworks	"J. Alroy"		Kritosaurus	cf.	breviceps					"YPM 1779"	3008	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.0	75.7	"Judith River"
14455	Fossilworks	"J. Alroy"	cf.	Edmontosaurus		sp.						1691	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Marshalltown
14455	Fossilworks	"J. Alroy"		Hadrosaurus		sp.						1691	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Marshalltown
14455	Fossilworks	"J. Alroy"		Hypsibema		crassicauda					"USNM 6136, 7189"	1691	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Marshalltown
14502	Fossilworks	"J. Alroy"		Edmontosaurus		sp.						13943	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"St. Mary River"
14505	Fossilworks	"J. Alroy"		Edmontosaurus		sp.		Anatosaurus		sp.		3880	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.3	67.1	Lance
14527	Fossilworks	"J. Alroy"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		1239	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14546	Fossilworks	"J. Alroy"		Edmontosaurus		sp.		Anatosaurus		sp.		960	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	67.5	"Hell Creek"
14549	Fossilworks	"J. Alroy"		Edmontosaurus		sp.		Anatosaurus		sp.		960	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.7	67.5	"Hell Creek"
14557	Fossilworks	"J. Alroy"	cf.	Edmontosaurus		sp.						774	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14579	Fossilworks	"J. Alroy"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		1239	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14585	Fossilworks	"J. Alroy"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		1239	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14609	Fossilworks	"J. Alroy"	cf.	Edmontosaurus		sp.	cf.	Anatosaurus		sp.		1239	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14616	Fossilworks	"J. Alroy"		Edmontosaurus	cf.	annectens		Hadrosauridae		indet.	"USNM 2414"	1987	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
