collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
13281	PaleoDB	"M. Carrano"		Troodon		formosus		Hypsilophodontidae		indet.	"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
14437	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	80.7	"Judith River"
14446	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.0	75.7	"Judith River"
14453	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.0	75.7	"Two Medicine"
14453	Fossilworks	"J. Alroy"		Troodon	cf.	formosus		Theropoda		indet.	"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	76.0	75.7	"Two Medicine"
14457	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14462	Fossilworks	"J. Alroy"		Troodon		formosus		Troodon		sp.	"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14490	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	"Judith River"
14494	Fossilworks	"J. Alroy"		Troodon		sp.						Canada	Saskatchewan	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.5	80.3	"Judith River"
14505	Fossilworks	"J. Alroy"		Pectinodon		bakkeri		Troodon		sp.	"UCM 38445"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.3	67.1	Lance
14508	Fossilworks	"J. Alroy"	cf.	Pectinodon		sp.		Troodon		sp.		"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14516	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	68.1	67.9	"Hell Creek"
14519	Fossilworks	"J. Alroy"	"n. gen."	Pectinodon	"n. sp."	bakkeri					"UCM 38445"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14519	Fossilworks	"J. Alroy"		Troodon		formosus		Saurornithoides		inequalis	"NMC 8539"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14521	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14537	Fossilworks	"J. Alroy"		Saurornithoides	cf.	mongoliensis					"AMNH 6516"	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14537	Fossilworks	"J. Alroy"	?	Troodon		sp.						"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14542	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14543	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14549	Fossilworks	"J. Alroy"	cf.	Pectinodon		sp.		Troodon		sp.		"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.7	67.5	"Hell Creek"
14566	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14566	Fossilworks	"J. Alroy"		Pectinodon		bakkeri					"UCM 38445"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14568	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14582	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14585	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14585	Fossilworks	"J. Alroy"		Pectinodon		bakkeri					"UCM 38445"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14585	Fossilworks	"J. Alroy"	cf.	Saurornithoides		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14610	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
14650	Fossilworks	"J. Alroy"		Troodon		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
22659	ETE	"A. Behrensmeyer"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
22689	ETE	"A. Behrensmeyer"		Troodon		formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		83.8	83.6	"Two Medicine"
22695	ETE	"A. Behrensmeyer"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22698	ETE	"A. Behrensmeyer"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22699	ETE	"A. Behrensmeyer"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Wapiti
22711	ETE	"A. Behrensmeyer"	"n. gen."	Koparion	"n. sp."	douglassi					"DINO 3353"	"United States"	Utah	Jurassic	"Late/Upper Jurassic"		155.700	145.500	Morrison
24894	PaleoDB	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
25658	Fossilworks	"J. Alroy"		Troodon	cf.	formosus		Troodon		sp.	"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
26760	PaleoDB	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
27894	ETE	"M. Carrano"	cf.	Euronychodon		sp.						Romania	Hunedoara	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Sânpetru
28406	Fossilworks	"J. Alroy"	cf.	Euronychodon		sp.						Spain	"Castilla y Leon"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Vitoria
34307	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
34309	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
34744	ETE	"M. Carrano"	cf.	Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
34745	PaleoDB	"M. Carrano"		Troodon		formosus		Stenonychosaurus		inequalis	"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
37009	PaleoDB	"M. Carrano"	"n. gen."	Archaeornithoides	"n. sp."	deinosauriscus					"ZPAL MgD-II/29"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
37020	PaleoDB	"M. Carrano"	"n. gen."	Borogovia	"n. sp."	gracilicrus		Saurornithoides		sp.	"ZPAL MgD-I/174"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37209	Fossilworks	"J. Alroy"		Byronosaurus		jaffei					"IGM 100/983"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
37211	Fossilworks	"J. Alroy"	"n. gen."	Byronosaurus	"n. sp."	jaffei		Troodontidae		indet.	"IGM 100/983"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
37213	Fossilworks	"J. Alroy"	cf.	Saurornithoides		mongoliensis					"AMNH 6516"	Mongolia	"Omnogov Aimak"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
38134	PaleoDB	"M. Carrano"		Troodon		sp.						"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
39680	PaleoDB	"M. Carrano"	cf.	Urbacodon		sp.						"Russian Federation"	Kemerovo	Cretaceous	"Early/Lower Cretaceous"		130.000	112.600	Ilek
45090	ETE	"M. Carrano"		Byronosaurus		sp.		Dromaeosauridae		indet.		Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
45099	PaleoDB	"M. Carrano"		Troodon		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
