collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
11890	PaleoDB	"M. Carrano"		Gorgosaurus		libratus		Gorgosaurus	"n. sp."	libratus	"CMN 2120"	36144	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
11893	PaleoDB	"M. Carrano"		Gorgosaurus		libratus		Gorgosaurus		sp.	"CMN 2120"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
11895	PaleoDB	"M. Carrano"		Gorgosaurus		libratus		Gorgosaurus		sp.	"CMN 2120"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
11896	PaleoDB	"M. Carrano"		Gorgosaurus		libratus		Gorgosaurus		sp.	"CMN 2120"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
11897	PaleoDB	"M. Carrano"	"n. gen."	Gorgosaurus	"n. sp."	libratus		Deinodon		sp.	"CMN 2120"	17545	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
11898	PaleoDB	"M. Carrano"		Albertosaurus		sarcophagus		Laelaps		incrassatus	"NMC 5600"	25123	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Scollard
11899	PaleoDB	"M. Carrano"		Albertosaurus		sarcophagus		Theropoda		indet.	"NMC 5600"	54104	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
11900	ETE	"M. Carrano"		Albertosaurus	"n. sp."	sarcophagus		Albertosaurus	"n. sp."	arctunguis	"ROM 807"	12347	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Horseshoe Canyon"
11901	PaleoDB	"M. Carrano"	"n. gen."	Albertosaurus	"n. sp."	sarcophagus		Laelaps		incrassatus	"NMC 5600"	25123	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Horseshoe Canyon"
11902	PaleoDB	"M. Carrano"		Albertosaurus		sarcophagus					"NMC 5600"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Horseshoe Canyon"
11903	PaleoDB	"M. Carrano"		Daspletosaurus		torosus					"NMC 8506"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
11904	PaleoDB	"M. Carrano"		Daspletosaurus		torosus					"NMC 8506"	62883	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
11915	PaleoDB	"M. Carrano"	"n. gen."	Daspletosaurus	"n. sp."	torosus		Gorgosaurus		sp.	"NMC 8506"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
11916	PaleoDB	"M. Carrano"		Albertosaurus		sp.		Daspletosaurus	cf.	torosus		4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
11917	ETE	"M. Carrano"		Tyrannosaurus		rex	cf.	Tyrannosaurus		rex	"NMC 9380 =AMNH 973"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Scollard
11918	PaleoDB	"M. Carrano"	cf.	Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Scollard
13108	PaleoDB	"M. Carrano"		Tarbosaurus		bataar					"PIN 551-1"	4373	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
14458	Fossilworks	"J. Alroy"		Daspletosaurus		sp.						2237	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Campanian	75.5	75.3	Mesaverde
14492	Fossilworks	"J. Alroy"		Albertosaurus		sp.						2602	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.5	72.5	"Judith River"
14494	Fossilworks	"J. Alroy"		Albertosaurus		sp.						3313	Canada	Saskatchewan	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.5	80.3	"Judith River"
14526	Fossilworks	"J. Alroy"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	6201	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14537	Fossilworks	"J. Alroy"	cf.	Gorgosaurus		sp.						66164	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14537	Fossilworks	"J. Alroy"	cf.	Tyrannosaurus		sp.						66164	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14538	Fossilworks	"J. Alroy"	cf.	Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	1239	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14557	Fossilworks	"J. Alroy"	cf.	Albertosaurus		sp.						774	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14585	Fossilworks	"J. Alroy"	cf.	Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	1239	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14599	Fossilworks	"J. Alroy"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	1226	"United States"	Utah	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"North Horn"
14610	Fossilworks	"J. Alroy"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	1984	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
14640	Fossilworks	"J. Alroy"	cf.	Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	717	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Laramie
14674	Fossilworks	"J. Alroy"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	2333	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14674	Fossilworks	"J. Alroy"	cf.	Nanotyrannus		lancensis	cf.	Gorgosaurus		lancensis	"CMNH 7541"	2333	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
22652	ETE	"A. Behrensmeyer"		Daspletosaurus	"n. sp."	horneri		Tyrannosauridae		indet.	"MOR 590"	5724	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
22654	ETE	"A. Behrensmeyer"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	5922	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
22657	ETE	"A. Behrensmeyer"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	5721	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	82.1	81.9	"Dinosaur Park"
22659	ETE	"A. Behrensmeyer"		Gorgosaurus		libratus		Albertosaurus		libratus	"NMC 2120"	18556	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
22689	ETE	"A. Behrensmeyer"		Daspletosaurus		sp.						14615	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		83.8	83.6	"Two Medicine"
22689	ETE	"A. Behrensmeyer"		Daspletosaurus		horneri		Tyrannosauridae		indet.	"MOR 590"	14615	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		83.8	83.6	"Two Medicine"
26760	PaleoDB	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	7389	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
26760	PaleoDB	"M. Carrano"	?	Nanotyrannus		sp.						7389	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
34744	ETE	"M. Carrano"		Albertosaurus		sp.						9231	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
34826	PaleoDB	"M. Carrano"	?	Albertosaurus		sp.						9303	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	71.8	71.6	Fruitland
35289	Fossilworks	"J. Alroy"		Albertosaurus		sp.		Theropoda		indet.		9505	"United States"	Georgia	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Blufftown
36269	Fossilworks	"J. Alroy"	aff.	Albertosaurus		sp.						59350	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.4	78.2	Kirtland
36608	PaleoDB	"M. Carrano"		Daspletosaurus		sp.						9814	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.0	75.3	"Two Medicine"
37006	PaleoDB	"M. Carrano"		Tarbosaurus		bataar		Tyrannosauridae		indet.	"PIN 551-1"	9902	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37007	PaleoDB	"M. Carrano"	?	Tarbosaurus		sp.						9901	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37007	PaleoDB	"M. Carrano"		Tarbosaurus		sp.						9901	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37010	PaleoDB	"M. Carrano"		Tarbosaurus		sp.		Deinodontidae		indet.		9901	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37011	PaleoDB	"M. Carrano"		Tarbosaurus		bataar		Deinodontidae		indet.	"PIN 551-1"	9901	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37020	PaleoDB	"M. Carrano"		Tarbosaurus		bataar					"PIN 551-1"	9899	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
37811	ETE	"M. Carrano"		Tarbosaurus		bataar		Theropoda	"n. sp."	indet.		65750	China	Heilongjiang	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Yuliangze
38023	PaleoDB	"M. Carrano"		Tarbosaurus		bataar					"PIN 551-1"	9900	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
38024	PaleoDB	"M. Carrano"		Tarbosaurus		bataar		Deinodontidae		indet.	"PIN 551-1"	9901	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
38078	PaleoDB	"M. Carrano"		Tyrannosaurus		sp.						10219	"Russian Federation"	Volgograd	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	
38134	PaleoDB	"M. Carrano"	cf.	Tarbosaurus		sp.		Tyrannosauridae		indet.		43271	"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38134	PaleoDB	"M. Carrano"	""""	Tarbosaurus		bataar	""""	Albertosaurus		periculosus	"PIN uncat."	43271	"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
38544	PaleoDB	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	10351	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
38544	PaleoDB	"M. Carrano"		Tyrannosaurus		rex		Dromaeosauridae	"n. sp."	indet.		10351	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
38696	PaleoDB	"M. Carrano"		Tarbosaurus		sp.		Tyrannosauridae		indet.		9902	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
38702	PaleoDB	"M. Carrano"		Tarbosaurus		bataar		Tyrannosauridae		indet.	"PIN 551-1"	9900	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
38703	PaleoDB	"M. Carrano"		Tarbosaurus		sp.		Tyrannosauridae		indet.		9901	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
