occurrence.genus_name	status	ma_max	ma_min
Achelousaurus	extinct	84.9	70.6
Achelousaurus	extinct	84.9	70.6
Agathaumas	extinct	70.6	66.043
Agujaceratops	extinct	84.9	70.6
Agujaceratops	extinct	84.9	70.6
Agujaceratops	extinct	84.9	70.6
Agujaceratops	extinct	84.9	70.6
Agujaceratops	extinct	84.9	70.6
Agujaceratops	extinct	84.9	70.6
Agujaceratops	extinct	84.9	66.043
Albertaceratops	extinct	84.9	70.6
Albertaceratops	extinct	84.9	70.6
Anchiceratops	extinct	84.9	70.6
Anchiceratops	extinct	70.6	66.043
Anchiceratops	extinct	84.9	66.043
Anchiceratops	extinct	70.6	66.043
Anchiceratops	extinct	70.6	66.043
Anchiceratops	extinct	70.6	66.043
Anchiceratops	extinct	84.9	66.043
Anchiceratops	extinct	84.9	66.043
Arrhinoceratops	extinct	84.9	66.043
Arrhinoceratops	extinct	84.9	70.6
Avaceratops	extinct	80.9	80.7
Bison	extinct	70.6	66.043
Brachyceratops	extinct	84.9	70.6
Brachyceratops	extinct	85.8	84.9
Brachyceratops	extinct	72.7	72.5
Brachyceratops	extinct	84.9	66.043
Bravoceratops	extinct	84.9	66.043
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	82.1	81.9
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	80.9	80.7
Centrosaurus	extinct	84.9	70.6
Centrosaurus	extinct	84.9	66.043
Ceratops	extinct	84.9	70.6
Ceratops	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Chasmosaurus	extinct	84.9	70.6
Coahuilaceratops	extinct	84.9	70.6
Coronosaurus	extinct	84.9	70.6
Coronosaurus	extinct	84.9	70.6
Crittendenceratops	extinct	84.9	70.6
Crittendenceratops	extinct	84.9	70.6
Diabloceratops	extinct	84.9	70.6
Diabloceratops	extinct	84.9	70.6
Einiosaurus	extinct	73.9	72.5
Einiosaurus	extinct	72.7	72.5
Einiosaurus	extinct	73.9	73.7
Eotriceratops	extinct	70.6	66.043
Judiceratops	extinct	84.9	70.6
Kosmoceratops	extinct	84.9	70.6
Kosmoceratops	extinct	84.9	70.6
Machairoceratops	extinct	77	79.9
Medusaceratops	extinct	84.9	70.6
Mercuriceratops	extinct	84.9	70.6
Mercuriceratops	extinct	84.9	70.6
Monoclonius	extinct	84.9	70.6
Monoclonius	extinct	84.9	70.6
Monoclonius	extinct	84.9	70.6
Monoclonius	extinct	84.9	70.6
Monoclonius	extinct	84.9	70.6
Monoclonius	extinct	84.9	70.6
