occurrence.genus_name	status	ma_max	ma_min
Gorgosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Albertosaurus	extinct	70.6	66.043
Albertosaurus	extinct	70.6	66.043
Albertosaurus	extinct	84.9	70.6
Albertosaurus	extinct	84.9	70.6
Albertosaurus	extinct	84.9	70.6
Daspletosaurus	extinct	84.9	70.6
Daspletosaurus	extinct	84.9	70.6
Daspletosaurus	extinct	84.9	70.6
Albertosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	70.6	66.043
Daspletosaurus	extinct	75.5	75.3
Albertosaurus	extinct	80.5	72.5
Albertosaurus	extinct	80.5	80.3
Tyrannosaurus	extinct	70.6	66.043
Gorgosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Albertosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	66.9	66.7
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Nanotyrannus	extinct	70.6	66.043
Daspletosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	82.1	81.9
Gorgosaurus	extinct	84.9	70.6
Daspletosaurus	extinct	83.8	83.6
Daspletosaurus	extinct	83.8	83.6
Tyrannosaurus	extinct	70.6	66.043
Nanotyrannus	extinct	70.6	66.043
Albertosaurus	extinct	70.6	66.043
Albertosaurus	extinct	71.8	71.6
Albertosaurus	extinct	84.9	70.6
Albertosaurus	extinct	78.4	78.2
Daspletosaurus	extinct	80	75.3
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tyrannosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tyrannosaurus	extinct	69.4	66.7
Tyrannosaurus	extinct	66.9	66.7
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	66.5	66.3
Tyrannosaurus	extinct	66.9	66.3
Tyrannosaurus	extinct	69.4	66.3
Tyrannosaurus	extinct	66.9	66.3
Tyrannosaurus	extinct	66.9	66.3
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	66.9	66.7
Tyrannosaurus	extinct	66.9	66.7
Tyrannosaurus	extinct	66.9	66.7
Tyrannosaurus	extinct	66.9	66.3
Tyrannosaurus	extinct	69.4	66.3
Tyrannosaurus	extinct	66.9	66.7
Tyrannosaurus	extinct	69.4	66.7
Tyrannosaurus	extinct	69.4	66.7
Tyrannosaurus	extinct	69.4	66.7
Albertosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Albertosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	66.043
Daspletosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.2	69.6
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	84.9	70.6
Nanuqsaurus	extinct	68	71
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Gorgosaurus	extinct	84.9	70.6
Daspletosaurus	extinct	84.9	70.6
Daspletosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Albertosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	66.043
Ornithomimus	extinct	84.9	70.6
Tyrannosauripus	extinct	70.6	66.043
Nanotyrannus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Albertosaurus	extinct	85.8	70.6
Tarbosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Albertosaurus	extinct	70.6	66.043
Albertosaurus	extinct	84.9	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Gorgosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Albertosaurus	extinct	84.9	70.6
Daspletosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	84.9	70.6
Tarbosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	70.6	66.043
Gorgosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Albertosaurus	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	70.4
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.2	70
Tyrannosaurus	extinct	70.6	70.4
Daspletosaurus	extinct	70.6	66.043
Lythronax	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	66.043
Albertosaurus	extinct	84.9	70.6
Albertosaurus	extinct	84.9	70.6
Alioramus	extinct	70.6	66.043
Tarbosaurus	extinct	70.6	66.043
Albertosaurus	extinct	70.6	66.043
Zhuchengtyrannus	extinct	84.9	70.6
Yezosaurus	extinct	85.8	84.9
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Gorgosaurus	extinct	84.9	70.6
Alioramus	extinct	70.6	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	84.9	66.043
Tarbosaurus	extinct	70.6	66.043
Tarbosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Teratophoneus	extinct	84.9	70.6
Tyrannosaurus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Alioramus	extinct	70.6	66.043
Tyrannosaurus	extinct	70.6	66.043
Albertosaurus	extinct	84.9	66.043
Albertosaurus	extinct	84.9	66.043
Tyrannosaurus	extinct	70.6	66.043
Teratophoneus	extinct	76.46	75.51
Tyrannosaurus	extinct	70.6	66.043
