Taxon	FAD	LAD	FAD_ID	LAD_ID	FAD_Strat_Int	FAD_MAX_AGE	FAD_MIN_AGE	LAD_Strat_Int	LAD_MAX_AGE	LAD_MIN_AGE
Aardonyx_celestae	201	191	12	12	Hettangian-Sinemurian	201	191	Hettangian-Sinemurian	201	191
Abelisauridae_indet_AMNH_1955	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Abelisauridae_indet_MPCA_56	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Abelisauroidea_indet_MPCM_13573	100	93.9	61	61	Cenomanian	100	93.9	Cenomanian	100	93.9
Abelisaurus_comahuensis	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Abrictosaurus_consors	201	191	12	12	Hettangian-Sinemurian	201	191	Hettangian-Sinemurian	201	191
Abydosaurus_mcintoshi	113	93.9	60	60	Albian-Cenomanian	113	93.9	Albian-Cenomanian	113	93.9
Achelousaurus_horneri	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Achillesaurus_manazzonei	86.3	83.6	73	73	Santonian	86.3	83.6	Santonian	86.3	83.6
Achillobator_giganticus	100	83.6	63	63	Cenomanian-Santonian	100	83.6	Cenomanian-Santonian	100	83.6
Acristavus_gagslarsoni	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Acrocanthosaurus_atokensis	126	113	56	56	Aptian	126	113	Aptian	126	113
Acrotholus_audeti	86.3	83.6	73	73	Santonian	86.3	83.6	Santonian	86.3	83.6
Adasaurus_mongoliensis	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Adeopapposaurus_mognai	201	174	13	13	Hettangian-Toarcian	201	174	Hettangian-Toarcian	201	174
Aegyptosaurus_baharijensis	145	93.9	45	61	Berriasian-Valanginian	145	134	Cenomanian	100	93.9
Aeolosaurus_colhuehuapensis	83.6	66	77	77	Campanian-Maastrichtian	83.6	66	Campanian-Maastrichtian	83.6	66
Aeolosaurus_maximus	83.6	66	77	77	Campanian-Maastrichtian	83.6	66	Campanian-Maastrichtian	83.6	66
Aeolosaurus_rionegrinus	83.6	66	77	77	Campanian-Maastrichtian	83.6	66	Campanian-Maastrichtian	83.6	66
Aerosteon_riocoloradensis	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Afrovenator_abakensis	174	164	23	23	Aalenian-Callovian	174	164	Aalenian-Callovian	174	164
Agilisaurus_louderbacki	170	164	25	25	Bajocian-Callovian	170	164	Bajocian-Callovian	170	164
Agujaceratops_mariscalensis	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Agustinia_ligabuei	113	100	59	59	Albian	113	100	Albian	113	100
Alamosaurus_sanjuanensis	83.6	66	76	78	Campanian	83.6	72.1	Maastrichtian	72.1	66
Alaskacephale_gangloffi	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Albalophosaurus_yamaguchiorum	139	134	46	46	Valanginian	139	134	Valanginian	139	134
Albertaceratops_nesmoi	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Albertadromeus_syntarsus	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Albertonykus_borealis	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Albertosaurus_sarcophagus	83.6	66	76	78	Campanian	83.6	72.1	Maastrichtian	72.1	66
Albinykus_baatar	86.3	83.6	73	73	Santonian	86.3	83.6	Santonian	86.3	83.6
Alectrosaurus_olseni	93.9	83.6	68	68	Turonian-Santonian	93.9	83.6	Turonian-Santonian	93.9	83.6
Alexornis_antecedens	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Alioramus_altai	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Alioramus_remotus	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Allosauroidea_indet_IVPP_V_18060	166	157	30	30	Callovian-Oxfordian	166	157	Callovian-Oxfordian	166	157
Allosaurus_fragilis	157	145	34	36	Kimmeridgian	157	152	Tithonian	152	145
Altirhinus_kurzanovi	113	100	59	59	Albian	113	100	Albian	113	100
Alvarezsauridae_indet_MPC_100_99and120	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Alvarezsauridae_indet_YPM_1049	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Alvarezsaurus_calvoi	86.3	83.6	73	73	Santonian	86.3	83.6	Santonian	86.3	83.6
Alxasaurus_elesitaiensis	126	113	56	56	Aptian	126	113	Aptian	126	113
Amargasaurus_cazaui	131	113	55	55	Barremian-Aptian	131	113	Barremian-Aptian	131	113
Amazonsaurus_maranhensis	126	100	57	57	Aptian-Albian	126	100	Aptian-Albian	126	100
Ambiortus_dementjevi	134	126	52	52	Hauterivian-Barremian	134	126	Hauterivian-Barremian	134	126
Ampelosaurus_atacis	83.6	66	77	77	Campanian-Maastrichtian	83.6	66	Campanian-Maastrichtian	83.6	66
Amphicoelias_emilieae	157	145	35	35	Kimmeridgian-Tithonian	157	145	Kimmeridgian-Tithonian	157	145
Amtocephale_gobiensis	100	93.9	61	61	Cenomanian	100	93.9	Cenomanian	100	93.9
Amurosaurus_riabinini	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Amygdalodon_patagonicus	183	170	20	20	Toarcian-Aalenian	183	170	Toarcian-Aalenian	183	170
Anabisetia_saldiviai	93.9	89.8	65	65	Turonian	93.9	89.8	Turonian	93.9	89.8
Anatotitan_copei	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Anchiceratops_ornatus	83.6	66	77	78	Campanian-Maastrichtian	83.6	66	Maastrichtian	72.1	66
Anchiornis_huxleyi	168	152	28	28	Bathonian-Kimmeridgian	168	152	Bathonian-Kimmeridgian	168	152
Anchisaurus_polyzelus	201	191	12	12	Hettangian-Sinemurian	201	191	Hettangian-Sinemurian	201	191
Andesaurus_delgadoi	100	93.9	61	61	Cenomanian	100	93.9	Cenomanian	100	93.9
Angaturama_limai	113	100	59	59	Albian	113	100	Albian	113	100
Angolatitan_adamastor	93.9	89.8	65	65	Turonian	93.9	89.8	Turonian	93.9	89.8
Aniksosaurus_darwini	100	93.9	61	61	Cenomanian	100	93.9	Cenomanian	100	93.9
Animantarx_ramaljonesi	113	100	59	59	Albian	113	100	Albian	113	100
Ankylosaurus_magniventris	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Anodontosaurus_lambei	100	66	62	78	Cenomanian-Maastrichtian	100	66	Maastrichtian	72.1	66
Anoplosaurus_curtonotus	100	93.9	61	61	Cenomanian	100	93.9	Cenomanian	100	93.9
Anserimimus_planinychus	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Antarctopelta_oliveroi	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Antarctosaurus_wichmannianus	83.6	66	76	77	Campanian	83.6	72.1	Campanian-Maastrichtian	83.6	66
Antetonitrus_ingenipes	228	201	7	7	Norian-Rhaetian	228	201	Norian-Rhaetian	228	201
Aorun_zhaoi	166	164	29	29	Callovian	166	164	Callovian	166	164
Apatornis_celer	89.8	83.6	72	72	Coniacian-Santonian	89.8	83.6	Coniacian-Santonian	89.8	83.6
Apatosaurus_ajax	157	145	35	35	Kimmeridgian-Tithonian	157	145	Kimmeridgian-Tithonian	157	145
Apatosaurus_excelsus	157	145	35	35	Kimmeridgian-Tithonian	157	145	Kimmeridgian-Tithonian	157	145
Apatosaurus_louisae	157	145	35	35	Kimmeridgian-Tithonian	157	145	Kimmeridgian-Tithonian	157	145
Apatosaurus_sp_FMNH_P25112	157	145	35	35	Kimmeridgian-Tithonian	157	145	Kimmeridgian-Tithonian	157	145
Appalachiosaurus_montgomeriensis	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Apsaravis_ukhaana	83.6	72.1	76	76	Campanian	83.6	72.1	Campanian	83.6	72.1
Aragosaurus_ischiaticus	134	131	50	50	Hauterivian	134	131	Hauterivian	134	131
Aralosaurus_tuberiferus	86.3	72.1	74	74	Santonian-Campanian	86.3	72.1	Santonian-Campanian	86.3	72.1
Archaeoceratops_oshimai	131	113	55	55	Barremian-Aptian	131	113	Barremian-Aptian	131	113
Archaeopteryx_lithographica	152	145	36	36	Tithonian	152	145	Tithonian	152	145
Archaeorhynchus_spathula	126	113	56	56	Aptian	126	113	Aptian	126	113
Archaeornithomimus_asiaticus	93.9	83.6	68	68	Turonian-Santonian	93.9	83.6	Turonian-Santonian	93.9	83.6
Arcusaurus_pereirabdalorum	201	191	12	12	Hettangian-Sinemurian	201	191	Hettangian-Sinemurian	201	191
Arenysaurus_ardevoli	72.1	66	78	78	Maastrichtian	72.1	66	Maastrichtian	72.1	66
Argentinosaurus_huinculensis	100	89.8	64	64	Cenomanian-Turonian	100	89.8	Cenomanian-Turonian	100	89.8
Argyrosaurus_superbus	83.6	66	77	77	Campanian-Maastrichtian	83.6	66	Campanian-Maastrichtian	83.6	66
Aristosuchus_pusillus	131	126	53	53	Barremian	131	126	Barremian	131	126
Arrhinoceratops_brachyops	83.6	66	77	77	Campanian-Maastrichtian	83.6	66	Campanian-Maastrichtian	83.6	66
Asiaceratops_salsopaludalis	100	93.9	61	61	Cenomanian	100	93.9	Cenomanian	100	93.9
Astrodon_johnstoni	126	100	56	57	Aptian	126	113	Aptian-Albian	126	100
Atacamatitan_chilensis	100	66	62	62	Cenomanian-Maastrichtian	100	66	Cenomanian-Maastrichtian	100	66
