Taxon	Group	L_Femur	logFL	Nodes
Cathayornis_yandica	4	23	1.36172783601759	66
Concornis_lacustris	4	25	1.39794000867204	66
Sinornis_santensis	4	21	1.32221929473392	59
Pengornis_houi	4	48	1.68124123737559	60
Vescornis_hebeiensis	4	23	1.36172783601759	59
Iberomesornis_romerali	4	16.4	1.2148438480477	58
Huoshanornis_huji	4	21	1.32221929473392	60
Liaoningornis_longidigitris	4	27	1.43136376415899	60
Qiliania_graffini	4	24.3	1.38560627359831	54
Eoenantiornis_buhleri	4	26.5	1.42324587393681	54
Sulcavis_geeorum	4	41.3	1.6159500516564	52
Shenqiornis_mengi	4	38.8	1.58883172559421	50
Longirostravis_hani	4	20	1.30102999566398	52
Shanweiniao_cooperorum	4	17.6	1.24551266781415	51
Longipteryx_chaoyangensis	4	31	1.49136169383427	50
Bohaiornis_guoi	4	39	1.5910646070265	50
Ichthyornis_dispar	4	30.5	1.48429983934679	59
Hesperornis_regalis	4	98	1.99122607569249	63
Baptornis_advenus	4	75	1.8750612633917	61
Vegavis_iaai	4	50	1.69897000433602	58
Polarornis_gregorii	4	62	1.79239168949825	58
Apsaravis_ukhaana	4	41	1.61278385671974	52
Gansus_yumenensis	4	31	1.49136169383427	51
Yanornis_martini	4	52	1.7160033436348	53
Yixianornis_grabaui	4	42	1.6232492903979	52
Yanornis_wui	4	55	1.74036268949424	51
Hongshanornis_longicresta	4	22	1.34242268082221	51
Longicrusavis_houi	4	24.3	1.38560627359831	50
Patagopteryx_deferrariisi	4	100	2	47
Schizooura_lii	4	45	1.65321251377534	48
Vorona_berivotrensis	4	94.1	1.97358962342726	48
Zhongjianornis_yangi	4	48	1.68124123737559	47
Chaoyangia_beishanensis	4	45	1.65321251377534	45
Archaeorhynchus_spathula	4	37	1.56820172406699	43
Confuciusornis_dui	4	35	1.54406804435028	46
Confuciusornis_sanctus	4	56	1.7481880270062	46
Changchengornis_hengdaoziensis	4	33.4	1.52374646681156	45
Eoconfuciusornis_zhengi	4	34	1.53147891704226	43
Dalianraptor_cuhe	4	49	1.69019608002851	43
Sapeornis_chaoyangensis	4	80	1.90308998699194	40
Jeholornis_prima	4	75	1.8750612633917	39
Shenzhouraptor_sinensis	4	55.4	1.74350976472843	38
Jixiangornis_orientalis	4	71.9	1.85672889038288	37
Archaeopteryx_lithographica	4	70	1.84509804001426	36
Aurornis_xui	4	66	1.81954393554187	35
Epidexipteryx_hui	4	51	1.70757017609794	35
Achillobator_giganticus	4	505	2.70329137811866	47
Deinonychus_antirrhopus	4	440	2.64345267648619	45
Saurornitholestes_langstoni	4	212	2.32633586092875	44
Velociraptor_mongoliensis	4	238	2.37657695705651	44
Linheraptor_exquisitus	4	225	2.35218251811136	43
Adasaurus_mongoliensis	4	273	2.43616264704076	41
Bambiraptor_feinbergorum	4	170	2.23044892137827	38
Microraptor_gui	4	108	2.03342375548695	44
Microraptor_zhaoianus	4	75	1.8750612633917	44
Sinornithosaurus_millenii	4	148	2.17026171539496	42
Graciliraptor_lujiatunensis	4	130	2.11394335230684	41
Tianyuraptor_ostromi	4	200	2.30102999566398	38
Unenlagia_comahuensis	4	395	2.59659709562646	41
Dromaeosauridae_indet_DGBU_78	4	400	2.60205999132796	41
Austroraptor_cabazai	4	560	2.7481880270062	41
Neuquenraptor_argentinus	4	265	2.42324587393681	40
Buitreraptor_gonzalezorum	4	150	2.17609125905568	38
Rahonavis_ostromi	4	87.55	1.94225615041946	38
Mahakala_omnogovae	4	79	1.89762709129044	35
Linhevenator_tani	4	240	2.38021124171161	46
Troodon_formosus	4	320	2.50514997831991	46
Saurornithoides_mongoliensis	4	200	2.30102999566398	45
Sinusonasus_magnodens	4	141	2.14921911265538	44
Sinornithoides_youngi	4	140	2.14612803567824	42
Mei_long	4	81	1.90848501887865	39
Sinovenator_changii	4	118	2.07188200730613	38
Jinfengopteryx_elegans	4	70.32	1.84707886206572	39
Troodontidae_indet_IGM_100_slash_1323	4	70	1.84509804001426	38
Anchiornis_huxleyi	4	66.2	1.8208579894397	37
Xiaotingia_zhengi	4	84	1.92427928606188	37
Eosinopteryx_brevipenna	4	48.5	1.68574173860226	35
Parvicursor_remotus	1	52.6	1.72098574415374	42
Mononykus_olecranus	1	139	2.14301480025409	41
Shuvuuia_deserti	1	124.5	2.09516935143176	41
Xixianykus_zhangi	1	70.1	1.84571801796666	41
Linhenykus_monodactylus	1	70	1.84509804001426	37
Patagonykus_puertai	1	300.67	2.47809009759029	36
Haplocheirus_sollers	1	214	2.33041377334919	32
Heyuannia_huangi	1	255	2.40654018043396	47
Ingenia_yanshini	1	254	2.40483371661994	46
Conchoraptor_gracilis	1	240	2.38021124171161	44
Khaan_mckennai	1	374	2.57287160220048	43
Citipati_sp_IGM_100_42	1	305	2.48429983934679	44
Rinchenia_mongoliensis	1	305	2.48429983934679	43
Oviraptor_philoceratops	1	262	2.41830129131975	41
Gigantoraptor_erlianensis	1	1100	3.04139268515822	37
